#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4734.636199567355     All      -0.4752228780376704        0.44366121057437535        -0.19499783671510507       0.29060892018960144        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4385.91887466438      All      -0.8107485399888943        0.5301814220143308         -0.12109173243746163       0.43138123604537226        
Zeropoint     AB|CNIa02|SDSS_i                      7502.5207108347995    All      0.39250807783127856        -0.05891903943797683       0.11692347554692617        -0.14182690590206076       
Zeropoint     AB|CNIa02|SDSS_r                      6186.754124817579     All      1.131430167948076          -0.09171081314265361       0.18240127530606554        -0.3902775265061234        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5487.01525959779      All      0.7589529944204092         0.17643731913850047        0.02747660193467283        -0.1885183650869246        
Check         All|All|All                           All                   All      0.9969198221731991         0.9996500991465762         0.010711783635097838       0.0013673587398650433      
Lambda        AB|CNIa02|SDSS_g                      4734.636199567355     All      -0.0001353820361003768     1.3790425812635567e-05     -0.0006919296216215688     1.771273737812947e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4385.91887466438      All      -0.00016797244637384298    -6.167149166224764e-05     -0.000860520328924693      -3.7753519058917315e-06    
Lambda        AB|CNIa02|SDSS_i                      7502.5207108347995    All      -5.211578777653715e-05     4.001856408949461e-06      -4.7676612845336845e-05    1.61517746663438e-05       
Lambda        AB|CNIa02|SDSS_r                      6186.754124817579     All      -3.145765836978038e-05     -1.2172266084315403e-05    -0.00013800747890485053    1.232467998372799e-07      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5487.01525959779      All      -3.900397659495104e-05     -2.8131610519725777e-05    -0.0005048846444572287     -1.8989195509907194e-05    
MWEBV         All|All|All                           All                   All      -0.9194739992413279        -4.110671149878886         0.02706484452594804        -1.0382701195236168        
Redshift      All|All|All                           All                   All      6.066364229742234          0.3241629060674711         4.487597511273922          -1.670163017794865         
