#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|WFC3|WFC3_f125w        5659.831168278445    All      0.1811932239541505         0.370730697506616          -3.332191582265631         -0.0869618153804319        
Zeropoint     AB|ACSWF|F814W            3658.487896338338    All      -0.4448186219128334        0.5384458710654627         1.127508323154136          0.3705971118079521         
Zeropoint     AB|WFC3|WFC3_f140w        6328.511634007649    All      0.30937146620482253        0.07341596923904348        0.7495178073266384         -0.043410930736817455      
Zeropoint     AB|WFC3|WFC3_f160w        6947.027686581876    All      0.9471142381250506         0.016265706779350353       1.4417651014750454         -0.2388686359751202        
Check         All|All|All               All                  All      0.99286030637119           0.9988582445904726         -0.013400350309811238      0.0013557297155825099      
Lambda        AB|WFC3|WFC3_f125w        5659.831168278445    All      -0.0001769915632834405     -0.00011711537367422999    -0.0005206591212777916     -3.7309804579306026e-06    
Lambda        AB|ACSWF|F814W            3658.487896338338    All      -0.0006661824761511471     0.00047405499132140627     -0.0003103407150381997     0.00035756377508544627     
Lambda        AB|WFC3|WFC3_f140w        6328.511634007649    All      -0.00010238758611439135    -1.6001207000936925e-05    -0.00027940317806669286    1.5670405119973125e-05     
Lambda        AB|WFC3|WFC3_f160w        6947.027686581876    All      -0.0008622846123049648     -4.2637252526050254e-05    -0.0019292527708476641     0.00018089242025172135     
MWEBV         All|All|All               All                  All      -0.10536167656249873       -1.2380076068581047        -0.05636400721655832       -0.3714553092131187        
Redshift      All|All|All               All                  All      3.142230567100942          -0.10249284779710877       2.092039496297504          -0.9635550501320173        
