#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5977.108794520427     All      1.376445909031927          0.13942571509009127        0.3911322919818708         -0.38548373613691184       
Zeropoint     AB|SDSS|SDSS_g            3771.9903427150894    All      -0.976193233989674         0.499107881041283          0.12641804810574445        0.48619556600047037        
Zeropoint     AB|SDSS|SDSS_z            7106.284112948929     All      0.1086651062445121         0.008885143804349127       0.10531363756873953        -0.027801952473369924      
Zeropoint     AB|SDSS|SDSS_r            4928.863766491098     All      0.48758113898330246        0.35161285991129887        -0.6221606008312436        -0.07205351185207948       
Check         All|All|All               All                   All      0.9964989202700675         0.9990315998470223         0.0007033768251112349      0.0008563655381091384      
Lambda        AB|SDSS|SDSS_i            5977.108794520427     All      -9.118764403374537e-05     -1.4151118863764724e-05    -9.728441072289263e-05     2.0751974234835296e-05     
Lambda        AB|SDSS|SDSS_g            3771.9903427150894    All      -0.0015226376915069165     0.0006534934790120698      -0.0006821798124373234     0.000678394962936506       
Lambda        AB|SDSS|SDSS_z            7106.284112948929     All      -3.719954079246028e-05     -3.980927509125125e-06     -4.8762075349552645e-05    8.644367739559102e-06      
Lambda        AB|SDSS|SDSS_r            4928.863766491098     All      -0.00016415865257669293    -6.014540190912343e-05     -0.001668784721293887      -4.0589659983613374e-05    
MWEBV         All|All|All               All                   All      -0.5485761929098949        -3.021547146999737         0.07650684505539174        -0.8021138489632746        
Redshift      All|All|All               All                   All      4.477399319962445          0.1828883639518608         6.1286300035620505         -1.1253708943070304        
