#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5977.108794520427     All      1.2711337997074328         0.1599358749441393         0.559901466064372          -0.336967890525236        
Zeropoint     AB|SDSS|SDSS_g            3771.9903427150894    All      -1.106288577278106         0.4809288833165226         -0.06778747181316325       0.5139839012886727        
Zeropoint     AB|SDSS|SDSS_z            7106.284112948929     All      0.1400307235634793         0.016394036585509753       0.15691831312297788        -0.03326999285997445      
Zeropoint     AB|SDSS|SDSS_r            4928.863766491098     All      0.6919106957128236         0.34224334515968735        -0.6479814482568402        -0.14281459575385125      
Check         All|All|All               All                   All      0.9967866417056298         0.999502140005859          0.00105085911734637        0.0009314221496109498     
Lambda        AB|SDSS|SDSS_i            5977.108794520427     All      -0.0002165014737725529     -4.2541953227895114e-05    -0.00028293385086224055    4.403830064382111e-05     
Lambda        AB|SDSS|SDSS_g            3771.9903427150894    All      -0.0014483220299191897     0.00045337832816217793     -0.0012959174390480136     0.0005616155273393453     
Lambda        AB|SDSS|SDSS_z            7106.284112948929     All      -2.3289447034967095e-05    -3.2099071789060258e-06    -4.410393217830268e-05     4.57241079727479e-06      
Lambda        AB|SDSS|SDSS_r            4928.863766491098     All      -0.00021496101842173186    -0.00010564418019727281    -0.0015327605137646365     -3.279197138804435e-05    
MWEBV         All|All|All               All                   All      -0.5674969371144316        -3.012543204985718         0.10358472854703482        -0.7918094983909912       
Redshift      All|All|All               All                   All      4.519890420812891          0.8917167895173606         5.784231100658888          -0.9236918470701183       
