#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3546.3111882534704    All      -1.3517789609131583        0.2419730045193802         -2.222398410321502        0.41996201407768496       
Zeropoint     AB|SDSS|SDSS_z            6681.113302776607     All      0.18903117102764397        0.03891664022930286        0.5557829121160207        -0.024095202553239825     
Zeropoint     AB|SDSS|SDSS_r            4633.968576892719     All      1.6035922854027849         0.582403894704342          4.631743030770452         -0.1259412363136453       
Zeropoint     AB|SDSS|SDSS_i            5619.496834702543     All      0.5579378747559037         0.13594936189313955        -2.9551879700297823       -0.2693320080641187       
Check         All|All|All               All                   All      0.9987823702731743         0.9992429013461646         0.009939562535188351      0.0005935671466811288     
Lambda        AB|SDSS|SDSS_g            3546.3111882534704    All      -0.0017003999519161856     0.00022078619822855084     -0.00528523145524354      0.00038993792859165195    
Lambda        AB|SDSS|SDSS_z            6681.113302776607     All      -4.5164540070375516e-05    -9.869121023513124e-06     -5.629674369053539e-05    8.984614059042034e-06     
Lambda        AB|SDSS|SDSS_r            4633.968576892719     All      -0.0008026113316412754     -0.00027951804236280936    -0.0034781711678664945    1.5173889016532959e-05    
Lambda        AB|SDSS|SDSS_i            5619.496834702543     All      -0.00015972503207062688    -3.937016469933484e-05     0.0003247275089806573     5.369463716665866e-05     
MWEBV         All|All|All               All                   All      -0.7742000730551601        -2.753302936756441         -0.5617630276881114       -0.6697278170992027       
Redshift      All|All|All               All                   All      9.571928812289096          1.4309696710313347         8.26590050724396          -2.282909046177635        
