#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3546.3111882534704    All      -1.4068504332796077       0.22425576104510014        -3.2732995759586263        0.38523262293758176       
Zeropoint     AB|SDSS|SDSS_z            6681.113302776607     All      0.20748007342239372       0.04054852249968377        0.9193549595458869         -0.013348508620496236     
Zeropoint     AB|SDSS|SDSS_r            4633.968576892719     All      1.9022015225832016        0.6711634539552591         9.236088313722998          0.011174602720556436      
Zeropoint     AB|SDSS|SDSS_i            5619.496834702543     All      0.3019848563429519        0.06404601970846358        -6.8200902249087925        -0.3818538102433202       
Check         All|All|All               All                   All      1.0048160190689397        1.0000137572085066         0.06205347240146608        0.001204906794321725      
Lambda        AB|SDSS|SDSS_g            3546.3111882534704    All      -0.0021873729005695464    0.0002760986029039307      -0.007589767288696559      0.00046373725893226336    
Lambda        AB|SDSS|SDSS_z            6681.113302776607     All      -8.149361899545618e-05    -1.6134391138433242e-05    -0.00035134078551922265    5.610925159898839e-06     
Lambda        AB|SDSS|SDSS_r            4633.968576892719     All      -0.0005717760150023385    -0.00019673986342749107    -0.002942820379999101      -9.162944783397185e-06    
Lambda        AB|SDSS|SDSS_i            5619.496834702543     All      -2.61484528988755e-06     2.4633214688871704e-07     0.0008104674531009228      3.709941971061977e-05     
MWEBV         All|All|All               All                   All      -0.7187823220622058       -2.7550032512808187        -0.5309159076949396        -0.68695648487714         
Redshift      All|All|All               All                   All      9.96286329130289          0.948797886559305          18.42739639899038          -2.11384758895176         
