#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5430.5104473752035    All      0.4709203755085164        0.7557152148051749         1.305054116818466         0.1510056199676835        
Zeropoint     AB|PS|PS_i                6577.52427380948      All      0.9487882308979925        -0.17811398903089248       -1.1255546850305755       -0.4172974631198938       
Zeropoint     AB|PS|PS_z                7559.1803514231515    All      0.2519612509133126        -0.11158621861804274       -0.04519612467337661      -0.12043626664873223      
Zeropoint     AB|PS|PS_g                4276.221057135489     All      -0.699093817968801        0.4818257038917473         -0.04631287223288011      0.3825976085878318        
Check         All|All|All               All                   All      0.9725760393510209        0.947840711047987          0.08799043488163369       -0.00413050121311076      
Lambda        AB|PS|PS_r                5430.5104473752035    All      -0.000605347969933204     0.0005634105553859254      -0.0033489790264050992    0.00023125355006567777    
Lambda        AB|PS|PS_i                6577.52427380948      All      -0.0006911955107266624    1.9078519928006138e-05     -0.0011291045652936922    0.00018097286814639502    
Lambda        AB|PS|PS_z                7559.1803514231515    All      0.00017686489062212669    -0.00013804626578927263    0.0008471584216627347     -6.477213441159761e-05    
Lambda        AB|PS|PS_g                4276.221057135489     All      -0.0005285516780435788    0.00036990816274113644     -7.703183547512352e-05    0.00028922035157153856    
MWEBV         All|All|All               All                   All      -0.4797536945178047       -3.531761775561648         0.7116969100475434        -0.9623796756896841       
Redshift      All|All|All               All                   All      7.312259465966838         -2.1540854872670323        16.11025299899669         -2.364573385137239        
