#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5430.5104473752035    All      -0.02692009946245455      1.2214476427757859         0.063596208450327          0.4094724504221287        
Zeropoint     AB|PS|PS_i                6577.52427380948      All      1.3558880494276293        -0.49317921033313894       0.004298485023766922       -0.6021102173656392       
Zeropoint     AB|PS|PS_z                7559.1803514231515    All      0.4197060967623263        -0.21659762931989235       0.0913986167411756         -0.20318635686927608      
Zeropoint     AB|PS|PS_g                4276.221057135489     All      -0.7521410038764378       0.48432560266888913        -0.159496064218177         0.3956402754877644        
Check         All|All|All               All                   All      0.9965330428510633        0.9959964057916437         -0.00020275400290747925    -0.0001838483250221068    
Lambda        AB|PS|PS_r                5430.5104473752035    All      -0.0004415577029232159    0.001081103006310874       -0.0020745552796865847     0.0004034028130022892     
Lambda        AB|PS|PS_i                6577.52427380948      All      -0.0004249759006272063    4.3592811171447916e-05     -0.0004915581509926058     0.00013069226225168314    
Lambda        AB|PS|PS_z                7559.1803514231515    All      8.93852278870866e-05      -0.00013524471535702516    -2.770142669266528e-05     -7.440555006547456e-05    
Lambda        AB|PS|PS_g                4276.221057135489     All      -0.0008031113284329122    0.0005536741192344691      -0.00047370980926096017    0.0004208101641037882     
MWEBV         All|All|All               All                   All      -0.5650385208121875       -3.510164038511654         0.028201637123437203       -0.9580657633268911       
Redshift      All|All|All               All                   All      4.849497127877778         -2.3688990839637825        5.51018113868719           -2.105375047505347        
