#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3941.9133251112967    All      -1.0064282359265666       0.596982860662898          0.10013585730955787       0.5267523482217831        
Zeropoint     AB|SDSS|SDSS_i            6246.369333438043     All      1.0805029403267077        0.05160528863044078        -0.539392353687429        -0.3592164182903729       
Zeropoint     AB|SDSS|SDSS_z            7426.412448526239     All      0.07400845158443359       0.0031131011597906877      0.05282229984441833       -0.020735731383048073     
Zeropoint     AB|SDSS|SDSS_r            5150.9023071369675    All      0.8502273038035317        0.34713430104211795        0.3906228364751907        -0.14644223914146992      
Check         All|All|All               All                   All      0.9983104597881064        0.9988355514952474         0.004188639941737904      0.0003579594068922054     
Lambda        AB|SDSS|SDSS_g            3941.9133251112967    All      -0.0008160227587311542    0.00031723061454571434     -0.0022860152164725055    0.000267123546781803      
Lambda        AB|SDSS|SDSS_i            6246.369333438043     All      -0.0002481259238191973    -1.7543495070382185e-05    0.00011679739752329126    8.032041440049054e-05     
Lambda        AB|SDSS|SDSS_z            7426.412448526239     All      -2.010041724403547e-05    -4.5786939405254943e-07    -1.616115876587096e-05    5.677025765165668e-06     
Lambda        AB|SDSS|SDSS_r            5150.9023071369675    All      2.606866356822413e-05     1.3964971023197446e-05     0.00013329195498718098    2.0056369016993843e-06    
MWEBV         All|All|All               All                   All      -0.5843370589989201       -3.223392942662251         0.1649633858669064        -0.8522657654070245       
Redshift      All|All|All               All                   All      4.7118377347300875        0.5284693897824155         -4.273920000517789        -1.5533861188985698       
