#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3941.9133251112967    All      -1.01970861892893          0.6132233570115275         -0.09459057953640387       0.5276785233042248         
Zeropoint     AB|SDSS|SDSS_i            6246.369333438043     All      1.1933186289408226         0.06628575166658379        0.1734400265063558         -0.35937185460679744       
Zeropoint     AB|SDSS|SDSS_z            7426.412448526239     All      0.09468489144282653        0.0036276313784000536      0.12541788877049254        -0.024063520945559934      
Zeropoint     AB|SDSS|SDSS_r            5150.9023071369675    All      0.7298141886069966         0.3157656996037872         -0.201267316837398         -0.143850850622128         
Check         All|All|All               All                   All      0.9981090900617158         0.9989024396602986         0.0030000189030464364      0.0003922971297394551      
Lambda        AB|SDSS|SDSS_g            3941.9133251112967    All      -0.0009523384738273        0.0004218409600691772      -0.002068894083328604      0.00035529020992848813     
Lambda        AB|SDSS|SDSS_i            6246.369333438043     All      -0.00024269388776332375    -2.0662707017509703e-05    5.661371136726961e-05      7.484927009873941e-05      
Lambda        AB|SDSS|SDSS_z            7426.412448526239     All      -2.0290613254722693e-05    -6.037913690365972e-07     -1.8509684092111634e-05    5.586643376243258e-06      
Lambda        AB|SDSS|SDSS_r            5150.9023071369675    All      6.55095705791779e-05       3.2844558133301253e-05     -0.00013123622707671444    -1.6496539268855546e-05    
MWEBV         All|All|All               All                   All      -0.5769538671056273        -3.228817812166085         0.15061371596522746        -0.8570781322388343        
Redshift      All|All|All               All                   All      4.741443587608002          0.07852767094433943        -3.7136094144776934        -1.6845864516114355        
