#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5229.995998704309    All      -0.17553769555090193       0.8867842770573731        0.10612746554377606        0.3507691971947141         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7660.212104392514    All      0.4866648153992092         -0.2598034229742474       0.422321217217142          -0.22430300704062156       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5271.163763802191    All      -0.2944835396595738        0.5971879668178026        -1.0130190535160843        0.2452403570507078         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6182.462972666515    All      1.2987743679869266         -0.3005217620129841       0.9148299069048349         -0.4801187077374425        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6087.665358651117    All      0.14670853007003062        0.19586961449720164       -0.7986755641533172        -0.01962783969440829       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4324.42817309506     All      -0.6309530938141789        0.07835125726565195       0.3423215050021744         0.24631999910916247        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7411.673854654747    All      0.2966598133300835         -0.3404418100287465       0.20434824759134607        -0.1984058349963569        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4257.887246866193    All      -0.1913783851112084        0.2718543614938618        -0.37133555724669365       0.13431914503657105        
Check         All|All|All                                All                  All      0.9364548126503869         1.129280482115913         -0.19308183265682177       0.05419330892232621        
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5229.995998704309    All      -0.0002885061849225251     0.0005753408211701315     -0.000720392082677446      0.0002492355995979956      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7660.212104392514    All      -0.00010292237919011106    1.9879380627551594e-06    -8.050929145833904e-05     3.057998186419341e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5271.163763802191    All      -0.0003664260878192141     0.0006324979647049427     -0.0018035397335646134     0.00024489873258169535     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6182.462972666515    All      -0.0005393942475618418     0.0006219293071079893     -0.0013971788612851977     0.0003159316125973157      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6087.665358651117    All      0.00010795671373865453     -0.0002746651530780845    3.101710678518049e-05      -0.00012324837888832876    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4324.42817309506     All      -0.0005165805251285073     0.00014829881269643418    0.00027006251930100633     0.00022862472409419527     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7411.673854654747    All      1.0920058057839485e-05     -7.257608985859897e-05    -1.1615791502474203e-05    -2.7715801743412845e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4257.887246866193    All      -0.0002512764546768559     0.00037769095698964597    -0.0005083716185631214     0.0001821890879229167      
MWEBV         All|All|All                                All                  All      -0.776752449983301         -3.9986183449852497       0.029013514847858746       -1.0481729783282712        
Redshift      All|All|All                                All                  All      10.066505803965683         -3.8618447641163733       15.29896025714193          -3.8541996784539454        
