#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5229.995998704309    All      0.07643811126995048        0.5323836303258389        0.690454726135133          0.17932827900208523       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7660.212104392514    All      0.37163558274151437        -0.1201806402165495       0.20277282774628663        -0.15115190409017024      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5271.163763802191    All      -0.16206531115541112       0.3193806437407076        -0.851429604226903         0.11882739384919644       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6182.462972666515    All      1.1995989624423087         -0.14178256536299116      0.7589302227865395         -0.40306452354512834      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6087.665358651117    All      0.257016077427318          -0.02150314146600607      -0.7180873524616932        -0.12276781308813553      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4324.42817309506     All      -0.7604360954474224        0.37569946850988245       0.23485820167187002        0.380557373806629         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7411.673854654747    All      0.20286902463927506        -0.1468837372606835       -0.03658994540150396       -0.11555882228663342      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4257.887246866193    All      -0.1873419590537594        0.1999968425260512        -0.27915659055328534       0.11371151422606206       
Check         All|All|All                                All                  All      0.9977143928637737         0.99711050079625          0.0017524856964437063      -0.0001185021260948077    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5229.995998704309    All      -0.00013744083885368764    0.0005055850491940389     -0.00055937956468437       0.00018449214582604817    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7660.212104392514    All      -0.00011119972671405581    1.7408062993766707e-05    -9.448179986058493e-05     3.7675499389877e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5271.163763802191    All      -0.00018907438683987305    0.0003028625063454445     -0.00103910292115815       0.00011386963940933257    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6182.462972666515    All      -0.0003552687213251471     0.00010276714248786339    -0.0007526748154575707     0.00011560892967274374    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6087.665358651117    All      -2.7878310039535203e-05    -3.71693769816037e-05     -7.341000295274813e-05     -6.30235744188762e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4324.42817309506     All      -0.0005530513105098339     0.0002674846876865402     -6.463826627811584e-05     0.00026439106049389976    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7411.673854654747    All      -9.700692163004042e-06     -2.797816267603432e-05    -5.4031550012212476e-05    -8.364753376124882e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4257.887246866193    All      -0.00018846717707378288    0.00020713851269586357    -0.00028710922255304405    0.00011604942224100307    
MWEBV         All|All|All                                All                  All      -0.7848572496988697        -3.997639461290259        0.02235526430195908        -1.045511250938769        
Redshift      All|All|All                                All                  All      10.284941925273339         -4.014416924144015        14.248960074707517         -4.021905967160399        
