#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3776.4110656797393    All      -1.0631661650661761        0.477448919417256         -0.2871567037860752        0.48901453292011066       
Zeropoint     AB|SDSS|SDSS_z            7114.612584264374     All      0.12938794124184325        0.013685036171473541      0.17545710895191924        -0.029858397766761163     
Zeropoint     AB|SDSS|SDSS_i            5984.113887245858     All      1.1459049199582565         0.10112412810752147       -0.49440943426580924       -0.36238269848376253      
Zeropoint     AB|SDSS|SDSS_r            4934.6403298601535    All      0.7857461120037692         0.406564176384272         0.6093895507592169         -0.09631777432100472      
Check         All|All|All               All                   All      0.9978728081376929         0.998822260080523         0.003280521659251634       0.00045566234858226973    
Lambda        AB|SDSS|SDSS_g            3776.4110656797393    All      -0.0013491980779294357     0.0005771580087510678     -0.0009249807434944501     0.0005861999103653954     
Lambda        AB|SDSS|SDSS_z            7114.612584264374     All      -4.544449436008712e-05     -6.790631404216941e-06    -0.00010986090948350288    7.688247021703677e-06     
Lambda        AB|SDSS|SDSS_i            5984.113887245858     All      -0.00018511369057267038    -2.312264816384682e-05    -9.994502592924812e-05     4.8305724383230157e-05    
Lambda        AB|SDSS|SDSS_r            4934.6403298601535    All      -0.00026645483833545266    -8.37604223909569e-05     -0.001226308330427717      4.785073184331756e-06     
MWEBV         All|All|All               All                   All      -0.5688873528478724        -3.0252272545006065       0.049230224816971126       -0.7979137983233906       
Redshift      All|All|All               All                   All      4.058442033282664          0.23507665226460972       4.373677949756445          -1.0502187302610493       
