#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3776.4110656797393    All      -1.1214805967351964        0.49069174957772077        -0.32422104573377464      0.510669075911202         
Zeropoint     AB|SDSS|SDSS_z            7114.612584264374     All      0.20477978461823104        0.020108893328796285       0.24511778035667398       -0.0492149040327591       
Zeropoint     AB|SDSS|SDSS_i            5984.113887245858     All      1.1914900672510529         0.11130775691192696        -0.19971970448026122      -0.3607634885514403       
Zeropoint     AB|SDSS|SDSS_r            4934.6403298601535    All      0.722236926662458          0.37691291827481876        0.27947959517680143       -0.10001149962489166      
Check         All|All|All               All                   All      0.9970261817965452         0.9990213180932628         0.0006566253194395522     0.0006791837021109942     
Lambda        AB|SDSS|SDSS_g            3776.4110656797393    All      -0.0014390929975160172     0.0006016502625427629      -0.0008858466768627922    0.0006252059496184292     
Lambda        AB|SDSS|SDSS_z            7114.612584264374     All      -2.8729719074209392e-05    -2.168396453949952e-06     -4.538408939094101e-05    6.6266131510425144e-06    
Lambda        AB|SDSS|SDSS_i            5984.113887245858     All      -0.00014887774383088909    -2.7213267701491002e-05    -0.0002017121211902493    3.062863697926187e-05     
Lambda        AB|SDSS|SDSS_r            4934.6403298601535    All      -0.00019343299511744925    -7.863990834071597e-05     -0.0009067683591347564    -3.073022288185133e-06    
MWEBV         All|All|All               All                   All      -0.5766829913785889        -3.0277201130754605        0.013079722587727716      -0.7977997393167273       
Redshift      All|All|All               All                   All      3.4163201242186734         0.06781181920612056        1.8867468581444946        -1.0065224708295626       
