#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5433.914989590695     All      0.08049690337593482        0.34059216694188876        -0.17276557391174038       0.07701185014333731        
Zeropoint     AB|CNIa02|SDSS_r                      6114.793875153729     All      0.4379507059288688         -0.0490768111008677        0.1474893772248698         -0.15205911151463497       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7468.125585994857     All      0.3137804048060965         -0.11888292757440411       -0.07836153726873736       -0.14442959706394712       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6154.322626875634     All      0.6757014924258716         -0.16095108132061497       -0.4940495199002016        -0.29457242930710564       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.193911597855     All      0.15443917867280266        0.3887377971425465         0.6576113729513999         0.10566494350621683        
Zeropoint     AB|CNIa02|SDSS_i                      7415.256330746671     All      0.316643471279973          -0.07595172248535675       0.18465838657520625        -0.1196407149200412        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.904754681787     All      -0.5227396256608308        0.40223897062414693        0.06972762412759542        0.3044075833193675         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4336.0852888389145    All      -0.46115646316599745       0.2706872954714612         -0.31478716512583926       0.2243380837183123         
Check         All|All|All                           All                   All      0.9951160676627193         0.9973936876987999         -0.0004770353274472505     0.0007206078815049921      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5433.914989590695     All      -0.00014233565571160567    -1.6541967906852606e-06    -0.0012258391554337915     -8.878991978341699e-06     
Lambda        AB|CNIa02|SDSS_r                      6114.793875153729     All      -3.029434435492624e-05     -9.476434058337193e-06     -9.869632816834759e-05     2.3767144421906927e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7468.125585994857     All      2.6074417511173937e-05     -2.9906521808039206e-05    -0.00012765796611054705    -2.3931622370149217e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6154.322626875634     All      -9.654393979438255e-05     -2.1697777808881565e-05    -0.0002503706683734757     1.3206964305646522e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.193911597855     All      -3.991371990921481e-06     4.108256453324152e-05      -0.0001148895079558992     9.555072942737724e-06      
Lambda        AB|CNIa02|SDSS_i                      7415.256330746671     All      -7.215291081659623e-05     1.1064658688360885e-05     -7.992152527752316e-05     2.354016955763402e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.904754681787     All      -9.478371775767315e-05     5.594316513860924e-05      -6.624162539767175e-05     4.614064502175941e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4336.0852888389145    All      -0.00039840057547340085    0.00021975604222940968     -0.00034393450502631255    0.00018600572980918755     
MWEBV         All|All|All                           All                   All      -0.8525771974442695        -4.073157120249249         0.015778734875160728       -1.0483447023215253        
Redshift      All|All|All                           All                   All      5.901436712429331          -1.2168283569875982        -0.7416306577809809        -2.351748687144275         
