#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5433.914989590695     All      0.07494710491552845        0.28562923078130353       -0.37391261138403076       0.05194009710298465       
Zeropoint     AB|CNIa02|SDSS_r                      6114.793875153729     All      0.4972862199799657         -0.05418380399531131      0.2088375842415391         -0.17031246740527237      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7468.125585994857     All      0.23480520915161435        -0.0887523021452008       -0.07690914617236588       -0.10882542811805514      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6154.322626875634     All      0.6533463091591208         -0.13798021444686448      -0.3678995711294486        -0.2741787507657068       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.193911597855     All      0.22167386661290917        0.39069332370149645       0.7771967884805053         0.08973792088287184       
Zeropoint     AB|CNIa02|SDSS_i                      7415.256330746671     All      0.3863286008501775         -0.07019587910059855      0.38124984826416464        -0.13169161261843176      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.904754681787     All      -0.5439293121319431        0.3939947995265314        0.004280369568931963       0.30570375318873555       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4336.0852888389145    All      -0.5314689219968425        0.2924090456597028        -0.43720521969276005       0.24885369790183623       
Check         All|All|All                           All                   All      0.9929890765405307         1.011614199981059         0.11563804217653573        0.011227210168962137      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5433.914989590695     All      -0.00014008132517931066    4.810214984396569e-06     -0.0013526799656167167     -1.316795280970129e-05    
Lambda        AB|CNIa02|SDSS_r                      6114.793875153729     All      -9.500032244774814e-05     -6.821152584294719e-06    -0.00021305985597857167    1.9214973809247262e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7468.125585994857     All      -7.085917947458518e-06     -1.096576548288513e-05    -9.422053932643822e-05     -5.468423916335066e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6154.322626875634     All      -0.00010228512282749304    -5.724042425187177e-05    -0.0004971974660081585     -7.515099109933697e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.193911597855     All      -5.1070949684953064e-05    6.176105513705603e-05     -0.0002126991401451406     2.7261310300366398e-05    
Lambda        AB|CNIa02|SDSS_i                      7415.256330746671     All      -0.00011136320541998918    1.1886172597099549e-05    -0.0001738084976631213     3.239010222711437e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.904754681787     All      -5.3744006828117206e-05    4.148141173653799e-05     -3.218778984966632e-05     2.9581658421905837e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4336.0852888389145    All      -0.00038769018692437463    0.0001898103778687346     -0.000366987585745053      0.00017173396271857882    
MWEBV         All|All|All                           All                   All      -0.8722831671950462        -4.0593634527614775       0.055438767409787815       -1.0356629232675212       
Redshift      All|All|All                           All                   All      5.35659592895293           -1.0983557012266942       -0.6938066602396376        -2.1335515122581286       
