#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5367.377710476191    All      0.43993511737832935        0.5475523217659983         0.3337212756382435         0.0499469117752796         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7794.921406770285    All      0.43355596819863196        -0.14528098238493214       -0.0025518641380006812     -0.18866011595129323       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6414.526388580697    All      1.167858019629396          -0.07159084939463156       -0.07700737196869589       -0.407165758626625         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4290.289363903831    All      -1.0438206175605664        0.6617669317115826         -0.2590186503647729        0.5440071642254642         
Check         All|All|All                               All                  All      0.9975284876457906         0.9924474216980173         -0.004856610833225972      -0.001871798577174344      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5367.377710476191    All      0.0002372420974657119      -2.5120597253720347e-05    -0.00089736154701195       -0.00012550528555702587    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7794.921406770285    All      -6.82161193581897e-05      5.3178611688265366e-05     3.9110283548774165e-05     4.128756999760167e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6414.526388580697    All      -0.00013644047662032458    -6.650979714095682e-05     -5.0927703910802655e-05    2.050605343439342e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4290.289363903831    All      -0.0011139960832412424     0.0007884952420745231      -0.0003373545802182219     0.0006046494292592407      
MWEBV         All|All|All                               All                  All      -0.7975906942529645        -4.0409470300073025        -0.003588418329325549      -1.0566279964382592        
Redshift      All|All|All                               All                  All      7.179733323829287          -3.250069075431661         2.58122997037713           -3.2821413333287563        
