#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5367.377710476191    All      0.49526584267032947        0.6823733195244763         0.2871364023685573        0.07376063973245577       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7794.921406770285    All      0.38909229271667145        -0.15416436481316964       0.04060346069220143       -0.17514462000488912      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6414.526388580697    All      1.2077138934322766         -0.2192400144172879        -0.0562162801440332       -0.46731450756654636      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4290.289363903831    All      -1.0946344513004995        0.690532516431297          -0.27210537529151063      0.5693447984745471        
Check         All|All|All                               All                  All      0.9974375775187783         0.9995014567253158         -0.0005817923747850617    0.0006463106355674153     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5367.377710476191    All      -1.6451151314325445e-05    0.000410802190943664       -0.001509832351197695     7.179358636609291e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7794.921406770285    All      -3.816498129950096e-05     3.338795267660912e-05      5.1357742744797906e-05    2.5599004798745084e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6414.526388580697    All      -0.0003155678307177861     -1.1917886071354955e-05    -0.0005987658313477592    7.21886077367388e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4290.289363903831    All      -0.0007576800368379788     0.0005823084815614509      -0.0005197351401248643    0.0004132849525089001     
MWEBV         All|All|All                               All                  All      -0.8217017571666569        -4.033668715947059         -0.015729513279502245     -1.0469452449836136       
Redshift      All|All|All                               All                  All      6.428454088768874          -3.4165716765934384        4.914064325325493         -2.9875566621474663       
