#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3850.3896098428168    All      -1.2518047433255728        0.3090608727751132         -0.6381935981650664        0.47994563294855763       
Zeropoint     AB|MEGACAMPSF|g           3018.1052569438584    All      -0.21376135333879953       0.030254893865588883       0.10753277877733113        0.08428281364719309       
Zeropoint     AB|MEGACAMPSF|z           5423.16158617921      All      1.2281293533220452         0.12717486531386157        0.041357278629665574       -0.35677151167293797      
Zeropoint     AB|MEGACAMPSF|i           4708.6070943859695    All      1.2244976811604613         0.5329812175531856         0.5025154462303562         -0.20282470601749739      
Check         All|All|All               All                   All      0.9870609378181342         0.9994718495077493         0.013211905472286511       0.004632228905315422      
Lambda        AB|MEGACAMPSF|r           3850.3896098428168    All      -0.0015243771837401149     0.00035233194483605754     -0.0010215447520130587     0.0005657190545766721     
Lambda        AB|MEGACAMPSF|g           3018.1052569438584    All      -0.0006842093246682021     8.29945636895523e-05       4.858763221190516e-05      0.0002520717895670311     
Lambda        AB|MEGACAMPSF|z           5423.16158617921      All      -4.375754675985524e-05     -1.3516400094835601e-05    -0.00020804665233627975    5.663698029150834e-07     
Lambda        AB|MEGACAMPSF|i           4708.6070943859695    All      -0.00010788798646946536    -6.047410155762655e-05     -0.0011065383031056868     -3.393546013473625e-05    
MWEBV         All|All|All               All                   All      -0.28055061815257076       -2.0603198018733337        0.1643767392923621         -0.5723939968852474       
Redshift      All|All|All               All                   All      2.464530240756389          -0.38344299110182334       1.4541958107358108         -0.8627844969991552       
