#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7337.151803034581    All      0.8032373516464245         -0.07869666692723598      0.5840477979574827        -0.26121155382849687       
Zeropoint     AB|PS|PS_z                8432.17773680457     All      0.36924365966676437        -0.2045623679309827       0.38220944379701727       -0.16985124879399208       
Zeropoint     AB|PS|PS_g                4770.074838715052    All      -0.9974956325462212        1.1848312531190786        0.3047165155755412        0.7244537616609606         
Zeropoint     AB|PS|PS_r                6057.671224264524    All      0.8222479820796065         0.09950385923911398       -1.2745357510117215       -0.2922982152212047        
Check         All|All|All               All                  All      0.997233360846574          1.0010760774999738        -0.003561993681680198     0.0010927438172669834      
Lambda        AB|PS|PS_i                7337.151803034581    All      -7.364772213214631e-05     0.00014811224918206728    -0.0012736282391234907    1.539833959423301e-05      
Lambda        AB|PS|PS_z                8432.17773680457     All      0.0004324908323785298      -0.0001940165640358284    9.187809211206288e-05     -0.00019997397322312887    
Lambda        AB|PS|PS_g                4770.074838715052    All      -0.000377648887765977      0.00015129851378041108    -0.0013657078503957983    0.0001113503016423986      
Lambda        AB|PS|PS_r                6057.671224264524    All      -0.00011722140708652537    6.836496958734658e-05     -0.0007389724142755381    2.7474643621538513e-05     
MWEBV         All|All|All               All                  All      -0.6468552837925081        -4.070234816743223        0.18952975616776122       -1.1066494971842775        
Redshift      All|All|All               All                  All      5.098214494816583          -0.3935509642264634       10.551385474701672        -1.3179888107520905        
