#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7337.151803034581    All      0.8700808773293197        -0.06627601399475935       0.5557566529689806        -0.2802013778069475        
Zeropoint     AB|PS|PS_z                8432.17773680457     All      0.38379512761465817       -0.2219096939217735        0.241509437969456         -0.1865205304673017        
Zeropoint     AB|PS|PS_g                4770.074838715052    All      -1.1149559453345836       1.3066797005408581         -0.10050077923032391      0.7843215111142956         
Zeropoint     AB|PS|PS_r                6057.671224264524    All      0.8506546702350621        -0.007322158297462522      -0.7997659513883967       -0.31516116087059776       
Check         All|All|All               All                  All      0.9895747298444565        1.0111718343268628         -0.10300063968028395      0.002438441969448646       
Lambda        AB|PS|PS_i                7337.151803034581    All      -2.042028470042758e-05    9.340321983873733e-05      -0.000845802376711584     -6.68215332352477e-07      
Lambda        AB|PS|PS_z                8432.17773680457     All      0.00041245371920941166    -0.0001994032744929591     7.960899655775934e-05     -0.00019574936846057257    
Lambda        AB|PS|PS_g                4770.074838715052    All      -0.0003582207501347555    9.54448087045621e-05       -0.001100874266693989     9.864683527760296e-05      
Lambda        AB|PS|PS_r                6057.671224264524    All      3.955733695351506e-05     -2.6116414231545517e-05    -0.0002783995445738435    -3.381579439468311e-05     
MWEBV         All|All|All               All                  All      -0.6686566679818684       -4.0538836321792004        0.10531369208373054       -1.0979801265087494        
Redshift      All|All|All               All                  All      4.237780010955846         -0.016386091888342946      6.505613644455798         -1.0954061998546398        
