#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|SWOPE|SWOPE_r 6230.356606711805 All 0.29305641710630015 -1.053994645696577 -2.916837067927354 -0.5689438896120276
Zeropoint Linear_AB11_off|SWOPE|SWOPE_g 4813.118573138824 All -0.6460241976934293 0.7449834054970985 0.22331544003078485 0.463062481587865
Zeropoint Linear_AB11_off|SWOPE|SWOPE_V-LC-9844 5382.257052219398 All -1.2354957662139316 2.9603284599824793 2.0819138114022575 1.4596242405076614
Zeropoint Linear_AB11_off|SWOPE|SWOPE_i 7617.564958431741 All 0.15466737714551598 -0.20457391486226428 1.3686675617694384 -0.055939360275363906
Zeropoint Linear_AB11_off|CalanTololo|Bessell12_R 6553.489686172905 All 2.6186379020339166 0.8548896246219728 9.60450121579991 -0.14590606216526253
Check All|All|All All All 1.1848417323783718 3.301632929542709 10.361560961075037 1.1518974100428723
