#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6230.356606711805    All      0.693046033130948          -1.1201171027904522       -1.4397149735228432        -0.6548547515615732        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4813.118573138824    All      -1.2736057521047595        1.6187864306995259        0.6237177582489206         0.9699809497343281         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5382.257052219398    All      -0.38525074345394433       0.3231957952543496        -0.6826418007893853        0.20030117654727952        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7617.564958431741    All      0.1566610247214038         -0.1339474104403493       -0.1126376560916853        -0.0996872293310469        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6553.489686172905    All      1.818751778625296          0.3037164927800262        1.6238883596976006         -0.42103015653638387       
Check         All|All|All                                All                  All      1.0096023409189443         0.9916342055031002        0.012611687542607442       -0.005290011147396356      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6230.356606711805    All      0.00020462165274906708     -0.0003480521340192891    -0.00046868339563821236    -0.0002009392221403229     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4813.118573138824    All      -0.002145635998611875      0.002739577787255577      0.0010942040231242574      0.0016401041488714903      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5382.257052219398    All      -0.00041360963116376286    0.00021211886914758403    -0.0012599563795636965     0.00014759429195801971     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7617.564958431741    All      5.8644397681326776e-05     -3.191582003916445e-05    -2.5639652711219772e-05    -3.0642622196067863e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6553.489686172905    All      0.00043043417290190215     7.916322275667349e-05     0.00039197558036935135     -9.692843506013927e-05     
MWEBV         All|All|All                                All                  All      -0.8666281510432912        -4.124590504097725        0.03566251178188651        -1.0596340680587346        
Redshift      All|All|All                                All                  All      19.76398796717495          -24.536267239145282       -10.450334275847872        -14.896400977886447        
