#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5287.4662692306      All      0.4364722765394866         0.4096498538546989         -0.35624593599525856       -0.024634565444996148      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7266.85312633133     All      0.5542846561432381         -0.14820736897229736       0.4732392473842939         -0.20770626977976783       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5988.458296072587    All      1.2230970200694324         -0.057583468136801486      0.014568311447971105       -0.4165096513152645        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4219.224030770076    All      -0.6212609485580827        0.3969782849543968         0.24097671534470955        0.3424277014705879         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4542.838181780814    All      -0.5949333404316922        0.39445824881036984        -0.3710866800180179        0.3057174964428644         
Check         All|All|All                      All                  All      0.9976596637623824         0.9952955505103667         0.0014516581636980774      -0.0007052886265762615     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5287.4662692306      All      0.00029293747904574665     -3.8441918192729247e-05    -0.00013215667221659326    -0.00011383871704630267    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7266.85312633133     All      -0.00012114588220508946    9.825106472197575e-05      -0.00024459967755347445    6.054944335577825e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5988.458296072587    All      -4.008797314394768e-05     -6.684316554397226e-06     -0.00015336776384732465    4.036570991031588e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4219.224030770076    All      -0.00037712786307104345    0.00014077109895225374     -0.0008993617834278026     0.00012856234452563137     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4542.838181780814    All      -0.00024669009723005803    4.8709887563395675e-05     -0.0013639384299457358     3.5355185632211035e-05     
MWEBV         All|All|All                      All                  All      -0.8125221133621068        -3.926563276115491         0.062657470959393          -1.0115495404664325        
Redshift      All|All|All                      All                  All      4.904285442710441          -1.2714912018660485        3.879149996406439          -1.8385449821071036        
