#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5287.4662692306      All      0.41536207356307053        0.39219436206590075       -0.8727357577704614       -0.04649267436863941      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7266.85312633133     All      0.5716542821127052         -0.15868468427111537      0.9086333745636938        -0.19734729448488422      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5988.458296072587    All      1.2208502034684143         -0.02436458302010891      -0.3626418694557162       -0.42179046338891085      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4219.224030770076    All      -0.6445852765762173        0.402840402122262         0.3220389025672237        0.35555211998377495       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4542.838181780814    All      -0.5630202645441316        0.3814161361919588        0.019308345690166637      0.3084956495425548        
Check         All|All|All                      All                  All      1.000261018023841          0.9934016330888973        0.014602995594906451      -0.001582662716104688     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5287.4662692306      All      0.00021614691742115647     4.346994892557169e-05     -0.0007761129942018532    -9.088092791571293e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7266.85312633133     All      -0.0002506842899041191     0.00014996517359136075    -0.0007594700439792941    9.661305129326272e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5988.458296072587    All      -0.00016985151519346384    6.228741524734387e-05     -0.0008827505856426824    3.6222182478097784e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4219.224030770076    All      -0.00039523533016546405    0.00011369042406376204    -0.0006892106090015121    0.0001350175572625469     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4542.838181780814    All      -0.0002519876055261124     3.5837966032050566e-05    -0.0013038934656394677    3.5567481031125685e-05    
MWEBV         All|All|All                      All                  All      -0.8121014633877075        -3.9283383698472285       0.10497982631638278       -1.0103761140893084       
Redshift      All|All|All                      All                  All      6.565095812587182          -2.404422258490957        14.581105630465817        -2.2709793484378897       
