#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6343.275746671761     All      1.0510419858995914         -0.005806963292798173      0.27140017075445855        -0.3321391289247651       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4349.612852386218     All      -0.5429891863511594        0.4732284017313404         -0.037846204136624664      0.32932659873478254       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3640.588493965306     All      -0.4004486424832191        0.21395803104677924        0.022629830168988403       0.20114233233327355       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5368.2908949080065    All      0.6512051560255563         0.3416696939003927         -0.46216968847770934       -0.12145039395655044      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8206.41120077265      All      0.2369854572537738         -0.02471929994642963       0.2080256609649507         -0.07596261942931765      
Check         All|All|All                                All                   All      0.9957947703445429         0.9983298634392845         0.0020397692740636575      0.0009167887574229039     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6343.275746671761     All      -0.00029527600196301495    -3.811020526367911e-06     -0.0003795994461310859     7.799995352335123e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4349.612852386218     All      -0.0003560912053942504     5.4523479375382806e-05     -0.0016334079865328445     6.0859215183919695e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3640.588493965306     All      -0.0007196151822499461     0.00023226340743801892     -0.0010946663873609849     0.0002612082392897427     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5368.2908949080065    All      0.00011047100843480553     3.9558726895082445e-05     -0.000982118934493787      -6.692592037959997e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8206.41120077265      All      -3.0599323944312614e-05    -1.2744962874684192e-06    -0.00010911239319957759    4.682876152606535e-06     
MWEBV         All|All|All                                All                   All      -1.059671528070539         -3.9541932618104347        0.12664008837017438        -0.9371895901085282       
Redshift      All|All|All                                All                   All      6.361388123663513          -0.5495597668366159        7.606598191633783          -1.9116755499173619       
