#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6343.275746671761     All      1.000954265076607          0.013722988799713676       0.255820826776465          -0.3101575970711784       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4349.612852386218     All      -0.5023171078736086        0.47957904966740017        -0.003012284489178896      0.3197014575133522        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3640.588493965306     All      -0.4353832978474856        0.21022699031121306        -0.11626555589774323       0.2051081130295465        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5368.2908949080065    All      0.7007700089096245         0.3125314919258493         -0.3454186709519469        -0.14187650648345013      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8206.41120077265      All      0.23265382748696023        -0.017873656643629943      0.2129024418040526         -0.07210418553857817      
Check         All|All|All                                All                   All      0.9966776957520975         0.9981868640605462         0.004026757241648582       0.0006712814496920294     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6343.275746671761     All      -0.00019980848786237812    -1.0785072138556756e-06    -0.00013246042220511217    5.882179244508863e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4349.612852386218     All      -0.00041339488281751455    6.90815756089754e-05       -0.0019004366368295174     7.235069680157851e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3640.588493965306     All      -0.000624753465881886      0.00028682708679108086     -3.099352374340336e-05     0.00029554867749841064    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5368.2908949080065    All      0.00014957150697049383     5.0712289987022444e-05     -0.0009373088345632511     -7.402948772594033e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8206.41120077265      All      -2.956663380374913e-05     4.705059626495705e-07      -6.36464942698804e-05      6.9438338929723405e-06    
MWEBV         All|All|All                                All                   All      -1.0948396207921092        -3.948492981242424         0.04243087464204098        -0.9276352868483242       
Redshift      All|All|All                                All                   All      6.046548341691171          -0.9310307023691955        6.662540605364375          -1.9755084629073119       
