#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7848.590967431185     All      0.06628400422805567       -0.017492015544107176     0.11002404460246362       -0.02237873800052942       
Zeropoint     AB|SDSS|SDSS_i            6601.4644715013055    All      0.9256468333453202        -0.1639095933530399       1.0299425272159546        -0.30894276888266264       
Zeropoint     AB|SDSS|SDSS_r            5443.722066626989     All      0.9100329588861137        0.5904502495045705        -1.264328696130479        -0.1605197852610485        
Zeropoint     AB|SDSS|SDSS_g            4166.004182006461     All      -0.8963841679629841       0.5908388361216765        -0.24755071839792642      0.4733904090111221         
Zeropoint     AB|SDSS|SDSS_u            3168.1901452445136    All      -0.01379326329564666      0.001218347576781298      0.3567730233762556        0.020810916962532566       
Check         All|All|All               All                   All      0.9917863652008586        1.0011058243058812        -0.015139819333731541     0.002360033829414132       
Lambda        AB|SDSS|SDSS_z            7848.590967431185     All      1.4153727571689682e-05    -5.38450719532107e-06     4.4584336090806416e-05    -4.374651701162955e-06     
Lambda        AB|SDSS|SDSS_i            6601.4644715013055    All      -0.000466646089310764     6.61260289021959e-05      -0.0007918107552226336    0.00013820652923370003     
Lambda        AB|SDSS|SDSS_r            5443.722066626989     All      2.976830580611809e-06     0.00024172261067061113    -0.0022102558189888806    -2.0866210785497512e-05    
Lambda        AB|SDSS|SDSS_g            4166.004182006461     All      -0.0007023194994543352    0.00017546266296021427    -0.0010507490712340188    0.00023903242334055014     
Lambda        AB|SDSS|SDSS_u            3168.1901452445136    All      3.2538472458700166e-06    -6.541957863071178e-06    0.0003033281807303099     1.0345327573651879e-05     
MWEBV         All|All|All               All                   All      -0.7221748962244234       -3.478711973257731        0.42844218632765996       -0.8787754063538822        
Redshift      All|All|All               All                   All      4.681049316309716         -0.7430560294309885       8.824884713845426         -1.37299548532374          
