#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7848.590967431185     All      0.09530756658885481       -0.02718224235085387      0.09822902801163487       -0.03551545019612857       
Zeropoint     AB|SDSS|SDSS_i            6601.4644715013055    All      1.1157417706048838        -0.3832575899863855       1.5777194279598172        -0.41786703549210896       
Zeropoint     AB|SDSS|SDSS_r            5443.722066626989     All      0.7359670884102524        0.8398002047186992        -1.9592450602964668       -0.053610246564224466      
Zeropoint     AB|SDSS|SDSS_g            4166.004182006461     All      -0.9220190550269128       0.556589575887223         0.08498966928275659       0.4854241744644539         
Zeropoint     AB|SDSS|SDSS_u            3168.1901452445136    All      -0.03212085161516727      0.006773525566750038      0.20503976215723163       0.02181916110666386        
Check         All|All|All               All                   All      0.9928765189619111        0.9927234738354329        0.0067328271149735275     0.000250603318655767       
Lambda        AB|SDSS|SDSS_z            7848.590967431185     All      1.029083496531502e-05     -6.067704369115976e-07    2.4151431725662733e-05    -2.4719411256712783e-06    
Lambda        AB|SDSS|SDSS_i            6601.4644715013055    All      -0.0004500795027894251    0.00014467662307033805    -0.0008734038388299636    0.00015475563515962806     
Lambda        AB|SDSS|SDSS_r            5443.722066626989     All      4.606702277301074e-05     0.00042481040413859305    -0.002662532902734358     4.552564720187366e-06      
Lambda        AB|SDSS|SDSS_g            4166.004182006461     All      -0.0008638713324308977    0.000273067006297793      -0.0009449410345812356    0.00032816984266809823     
Lambda        AB|SDSS|SDSS_u            3168.1901452445136    All      -2.495527915529915e-05    5.2980444689650465e-06    0.00014985098965123806    1.654166423663968e-05      
MWEBV         All|All|All               All                   All      -0.6789654237754008       -3.500282975598168        0.3526150743040201        -0.9032603539554125        
Redshift      All|All|All               All                   All      5.200397768297074         -2.4920238826751984       13.312466764881512        -1.9116005551086337        
