#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP      5233.600417831984    All      2.499304041593001         0.4965080064057048        0.9538139011014622       -0.6098122249955688        
Zeropoint     VEGAHST|ACSWF|F606W       3478.801007972179    All      -0.8777898039703609       0.32303094625429907       0.32345944882511585      0.40558133378296446        
Zeropoint     VEGAHST|ACSWF|F775W       4455.769445717177    All      -0.6276011107478748       0.1843454561090141        -1.25397965028632        0.20851835660184465        
Check         All|All|All               All                  All      0.9939131268747655        1.003884408769018         0.02329369964025796      0.0042874653892403525      
Lambda        VEGAHST|ACSWF|F850LP      5233.600417831984    All      0.0006778999733227219     4.330882573399325e-05     -0.00053033558195946     -0.00023037365547790706    
Lambda        VEGAHST|ACSWF|F606W       3478.801007972179    All      -0.0021839712061932637    0.0007803773632984415     0.000506365350801427     0.000988182613208958       
Lambda        VEGAHST|ACSWF|F775W       4455.769445717177    All      -0.0003578651116712751    -8.754494314817408e-05    -0.002132600909330715    -7.116011744367081e-06     
MWEBV         All|All|All               All                  All      -0.16579716469357475      -1.8449643625086054       0.08190964060519365      -0.543304748225446         
Redshift      All|All|All               All                  All      1.4184147809558827        -0.05747018106099233      -0.5974351255590614      -0.5074050730353311        
