#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4583.3405878543335    All      0.9765084020323338        0.5327939576616814         2.033614557332993          -0.053781514663202745      
Zeropoint     AB|SDSS|SDSS_i            5558.1015491222215    All      0.9038637675629925        0.18682032976542473        -1.588629414381875         -0.3044578721719494        
Zeropoint     AB|SDSS|SDSS_z            6608.1194260498905    All      0.19981313544152318       0.03985507299617552        0.4636292395696519         -0.03141395981247731       
Zeropoint     AB|SDSS|SDSS_g            3507.566297996577     All      -1.0821982470827818       0.23938159113647828        -0.8967069725892816        0.39046611823274546        
Check         All|All|All               All                   All      0.9979870579540677        0.9988509515597599         0.011907409931488422       0.0008127715851160011      
Lambda        AB|SDSS|SDSS_r            4583.3405878543335    All      -0.000368316871165634     -0.0001771892314201895     -0.0014227381567574098     -1.2337093584106526e-06    
Lambda        AB|SDSS|SDSS_i            5558.1015491222215    All      1.271062320582516e-05     5.994471885721231e-06      0.00027549685917513004     1.0106488073905176e-05     
Lambda        AB|SDSS|SDSS_z            6608.1194260498905    All      -5.887693734455965e-05    -1.1735521106624884e-05    -0.00012398618310279543    9.822576271287229e-06      
Lambda        AB|SDSS|SDSS_g            3507.566297996577     All      -0.001800611061339833     0.00024494993358439637     -0.004327399788269577      0.0004731945354825073      
MWEBV         All|All|All               All                   All      -0.6548365688702797       -2.692885977251258         0.05094484399466163        -0.6615863077373648        
Redshift      All|All|All               All                   All      8.31852525912588          0.9372362317952465         10.196052757347543         -1.949325667613687         
