#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4583.3405878543335    All      1.0870358150041517         0.5197447749498707        1.5791050184750466       -0.11431715065902265      
Zeropoint     AB|SDSS|SDSS_i            5558.1015491222215    All      0.9153792978987503         0.22394079196814687       -0.8356874146555282      -0.26251716017537813      
Zeropoint     AB|SDSS|SDSS_z            6608.1194260498905    All      0.13579917734847635        0.03185009012938167       0.4091532160431455       -0.015601008671395356     
Zeropoint     AB|SDSS|SDSS_g            3507.566297996577     All      -1.1407936653183046        0.22308853854280386       -1.151796556207485       0.39286191389598796       
Check         All|All|All               All                   All      0.9974206249330737         0.9986241955902031        0.0007742636551788529    0.00042659439019182566    
Lambda        AB|SDSS|SDSS_r            4583.3405878543335    All      -0.0004825164287508932     -0.0002159506768821335    -0.001488302904722968    2.0413112026616644e-05    
Lambda        AB|SDSS|SDSS_i            5558.1015491222215    All      -1.1777885555045654e-05    6.216474399862173e-06     0.0007096204199851414    3.752845520940463e-05     
Lambda        AB|SDSS|SDSS_z            6608.1194260498905    All      -4.329016665789899e-05     -9.11420173574185e-06     7.114394932863829e-06    1.1449718901615468e-05    
Lambda        AB|SDSS|SDSS_g            3507.566297996577     All      -0.0016514745528454077     0.00011387378735441646    -0.005275842755341186    0.0003395954015368345     
MWEBV         All|All|All               All                   All      -0.7008498150373195        -2.685465049571434        0.1127239035836669       -0.6414241236948378       
Redshift      All|All|All               All                   All      7.936649527084292          1.368116817204701         8.252737443610036        -1.7713054332589628       
