#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6472.20947498116      All      0.5059275369919776        -0.02741219283812768      -0.7942708888169503        -0.20917095817525322       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5338.8446563584985    All      0.38461111712222384       0.40993929253119177       1.6312210860469967         0.081044125145735          
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4328.870097237724     All      -0.49067713661441664      0.23079629433908622       -0.611821446303773         0.20770485107813874        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7865.017793900596     All      0.21573184201935863       -0.045115339043988456     -0.17738674203465754       -0.09288246407885836       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7813.663598791369     All      0.18309101097573952       -0.07127764313601404      0.36055312356232383        -0.06676640918036325       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4334.529972064267     All      -0.45284519323006434      0.3705145827813894        0.5733103958101671         0.29377957662457543        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5415.644237646223     All      0.13275496696049738       0.3613753455950608        -2.03022935398679          -0.01613063285395011       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3602.016699482917     All      -0.15575421677657464      0.09836759573520482       0.06070733734079292        0.08548492434119481        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6481.093898761028     All      0.6547198926785134        -0.3280444289824658       0.998689168257727          -0.27555176078490895       
Check         All|All|All                                     All                   All      0.9775598201272546        0.999143506981337         0.010772679875836744       0.0075112521163100965      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6472.20947498116      All      -4.335963594059858e-05    1.3811474809628374e-05    -0.00041625545364567764    4.694254096713892e-08      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5338.8446563584985    All      0.00025774619125928976    0.00027654858664802914    0.0008416526424034401      4.368365061824454e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4328.870097237724     All      -0.0006125412277665531    0.00018662118532740564    -0.0013830638980298947     0.00019859370002080234     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7865.017793900596     All      3.149638783366504e-05     3.312279728951633e-05     0.000183186704364007       8.704556336716694e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7813.663598791369     All      1.2472745604829138e-05    -6.591270628835081e-06    4.114580571408926e-05      -4.373628941639737e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4334.529972064267     All      -0.0004566933858219146    0.00028223204822048505    0.00019608810470961397     0.0002494428353054126      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5415.644237646223     All      8.602389875060428e-06     0.0002346040658486623     -0.0025867962722134607     -4.1820655804443746e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3602.016699482917     All      -0.0004303592376356568    0.0002596514806333192     0.0001727781366334638      0.00023246948631523145     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6481.093898761028     All      -9.308650750100044e-05    8.869316915333239e-05     -0.00019494097594863812    5.0512300634973744e-05     
MWEBV         All|All|All                                     All                   All      -0.8855667520532444       -4.037809807043047        0.05096747938123647        -1.0245148242067015        
Redshift      All|All|All                                     All                   All      4.730672031746035         -5.473088027709494        4.617584452605927          -3.1176387587780185        
