#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6472.20947498116      All      0.47962603077274746        0.05224437173270147        -0.4312775141626106        -0.15845820145938883       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5338.8446563584985    All      0.4187424081308188         0.3418245224407812         1.1924849299367342         0.028160439645372952       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4328.870097237724     All      -0.40694066162359854       0.2001507683456083         -0.8001105614847674        0.16204439187159403        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7865.017793900596     All      0.15076227987582758        -0.024591973036258707      -0.08731337878088503       -0.06101504423617835       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7813.663598791369     All      0.1533808524525079         -0.056282821374686876      0.25153775715870635        -0.05706938146464235       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4334.529972064267     All      -0.3766137534116608        0.2748270000431319         0.48525475485970787        0.23385037617933965        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5415.644237646223     All      0.1988313030416431         0.3038115001825048         -1.4865098539677406        -0.032140603535087554      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3602.016699482917     All      -0.2297304442473386        0.1468332597472255         0.11649773549384651        0.1278579458492577         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6481.093898761028     All      0.609047364523684          -0.2423192277510644        0.7672939470977649         -0.24307730342747708       
Check         All|All|All                                     All                   All      0.997105379514631          0.9964974003299432         0.007857816150756092       0.00015261942279018448     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6472.20947498116      All      -0.00011974093885993702    2.3397661879686848e-05     -0.00020845236337555507    3.732267979061004e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5338.8446563584985    All      9.73280085378716e-05       9.231299891533598e-05      5.7282342352455336e-05     9.226942279318475e-07      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4328.870097237724     All      -0.00028441103373426336    7.400438093429339e-05      -0.001045340491200779      7.009894702737787e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7865.017793900596     All      3.647333211126342e-06      1.2599745527508525e-05     8.538899150693308e-05      6.726613730564175e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7813.663598791369     All      -1.3249305931857223e-06    -1.4634527197594378e-06    -1.260756593031672e-06     -1.0138299016907321e-07    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4334.529972064267     All      -0.00020181665060983752    5.353021194766258e-05      -0.00017839740260492998    7.521381706860739e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5415.644237646223     All      2.539012655352634e-06      0.00012798147014730257     -0.0016056257413666454     -3.079096712549854e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3602.016699482917     All      -0.0005707550421519686     0.0003327894897736454      0.00015860010367513597     0.0003013917739834227      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6481.093898761028     All      -0.00018160391824271327    0.0001214287228290668      -0.00028880895952823155    8.581948326267505e-05      
MWEBV         All|All|All                                     All                   All      -0.9598364962245394        -3.983446093409082         0.09867794337293671        -0.9804855762027527        
Redshift      All|All|All                                     All                   All      6.002551169136895          -2.9326181204554658        4.815691988196134          -2.6955763801985313        
