#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5949.202674273644    All      1.0179156798494944         -0.03380990167496378       -6.497269290519192        -0.6325249102037744        
Zeropoint     AB|PS|PS_z                8281.19131669102     All      0.2147171583592153         -0.03010147569852961       1.0283967721015141        -0.033852858723074086      
Zeropoint     AB|PS|PS_i                7205.772897234892    All      0.8654381207465389         -0.059541015478892234      3.4445020052428           -0.14758383110982654       
Zeropoint     AB|PS|PS_g                4684.661966020525    All      -1.1148150651530842        1.1689236849171891         1.9697429939648625        0.8317894267894005         
Check         All|All|All               All                  All      0.9832558938021643         1.0454712920648035         -0.05462751921001541      0.01782782675272543        
Lambda        AB|PS|PS_r                5949.202674273644    All      -0.00023769088505183372    3.2476297271579266e-05     0.002019049238448055      0.00017810323387322362     
Lambda        AB|PS|PS_z                8281.19131669102     All      0.0002500073039971017      -1.7925453902691985e-05    0.001175437196367809      -3.482015048775368e-05     
Lambda        AB|PS|PS_i                7205.772897234892    All      -0.0006504400654935097     0.00010575174855138812     -0.0023287618570546195    0.0001423946057421547      
Lambda        AB|PS|PS_g                4684.661966020525    All      -0.0001840225208688634     -0.0002071039294992132     -0.0025895563029307536    -0.00012307837854458084    
MWEBV         All|All|All               All                  All      -0.698501274815496         -3.914264794175093         0.733392636305652         -1.0147520287249912        
Redshift      All|All|All               All                  All      9.293214314154175          0.24146269788225538        9.628523560716529         -2.518776510896989         
