#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5949.202674273644    All      0.872010322316639          0.42672814197253217       -6.015896861225033        -0.41350490238825294       
Zeropoint     AB|PS|PS_z                8281.19131669102     All      0.34548536045875           -0.14803148315714054      0.7125581508277811        -0.12895647457735654       
Zeropoint     AB|PS|PS_i                7205.772897234892    All      0.8058468665373393         -0.27802697733072534      3.263632525131404         -0.20741243906353818       
Zeropoint     AB|PS|PS_g                4684.661966020525    All      -1.0237794695272457        1.0193571410873403        1.9996414328841825        0.7547516244038174         
Check         All|All|All               All                  All      0.9995630797854822         1.0200268225720066        -0.040064752381665736     0.004877808374669779       
Lambda        AB|PS|PS_r                5949.202674273644    All      -0.00014620425209964843    2.650694595008577e-05     9.407329414893431e-05     6.0455778289295834e-05     
Lambda        AB|PS|PS_z                8281.19131669102     All      0.0003129976852146504      -8.011567274831119e-05    0.00047484659197385406    -0.00010685973122558423    
Lambda        AB|PS|PS_i                7205.772897234892    All      -0.0004168353824506356     0.000329613425089578      -0.0018190138225855827    0.00016196870157849798     
Lambda        AB|PS|PS_g                4684.661966020525    All      -0.00028217414417793695    1.9952838037739465e-05    -0.001920943962060795     1.268979133985261e-05      
MWEBV         All|All|All               All                  All      -0.6532929337974362        -3.980504059810741        0.6156779453218152        -1.0563072467440444        
Redshift      All|All|All               All                  All      7.129590001785276          -2.0926790121315264       21.84831502308469         -2.029006467672378         
