#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5400.92056898579      All      0.48521201676201453        0.1547250298223446         0.12461598677160346       -0.10208944519607827       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4640.31483667966      All      -0.596392830276806         0.5678291672976954         0.269231046817886         0.391239951462069          
Zeropoint     AB|PS|PS_r                       6113.971158568327     All      0.24719718860616596        -0.0264830928657922        -0.2928248604811001       -0.10221410011656967       
Zeropoint     AB|PS|PS_g                       4814.4078654016375    All      -0.1520491755918129        0.1394021873243112         -0.3131416883480398       0.08096122202359696        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4309.756827301928     All      -0.5502647505623917        0.32731618823138575        -0.24137909927954837      0.2750853427337066         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6116.953932356416     All      0.9699459461136186         -0.06898135593935706       0.21220144250344575       -0.32894322619869826       
Zeropoint     AB|PS|PS_z                       8510.546310311584     All      0.061851614868683236       -0.012243623431551498      -0.0026924028213803908    -0.02425540634748008       
Zeropoint     AB|PS|PS_i                       7405.343216730531     All      0.11405834172013565        -0.020035374462601396      -0.014494775650408798     -0.044325570178124774      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7422.779555152161     All      0.4183684374333903         -0.06434865102438181       0.26037271379077964       -0.14561759826333398       
Check         All|All|All                      All                   All      0.9979267890729977         0.997180474952053          0.0018883633032373837     -0.0001588300809124421     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5400.92056898579      All      0.0001711379815052541      -4.9240711579321296e-06    -0.0005155314588002955    -8.035500407779372e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4640.31483667966      All      -0.00012513561498067618    -3.2140875360711855e-05    -0.0007282815999772747    -2.2084168003004365e-06    
Lambda        AB|PS|PS_r                       6113.971158568327     All      -2.2263220081661294e-06    -8.116826182543503e-07     -3.456600415804834e-05    -1.0817274201110239e-06    
Lambda        AB|PS|PS_g                       4814.4078654016375    All      -5.166166568608689e-06     1.630507387698926e-05      -9.837345444545452e-06    6.554893850063591e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4309.756827301928     All      -0.00040043576744033045    0.00010548992986337414     -0.0010455634875142943    0.00011813794772451018     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6116.953932356416     All      -3.13637009058509e-05      1.2878832979367248e-05     5.0228095528271336e-05    1.66526980366747e-05       
Lambda        AB|PS|PS_z                       8510.546310311584     All      3.0230429321370196e-05     -6.914686290792579e-06     2.1565631548853135e-06    -1.200314868402068e-05     
Lambda        AB|PS|PS_i                       7405.343216730531     All      5.536531864782531e-08      -3.3836441763583045e-06    -2.49465142817955e-05     -2.233446889775933e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7422.779555152161     All      -3.8921716776115325e-05    -7.659436545482429e-07     -0.0001529224425396014    5.6043643301764455e-06     
MWEBV         All|All|All                      All                   All      -0.8264227841576743        -4.036812269508427         0.048355499230035015      -1.0435715902137586        
Redshift      All|All|All                      All                   All      5.214197661099247          -0.20350021515262995       5.552732506438174         -1.5169294862768232        
