#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5400.92056898579      All      0.44552437435129416        0.1533804323031518         0.10301455253544502        -0.0905638268243604        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4640.31483667966      All      -0.4973522094595212        0.49290181529704213        0.3200123471121681         0.33683899554101965        
Zeropoint     AB|PS|PS_r                       6113.971158568327     All      0.41961309791606           -0.04756221482109524       -0.4029844125913317        -0.17015771246324682       
Zeropoint     AB|PS|PS_g                       4814.4078654016375    All      -0.23248171371257054       0.22705956211561684        -0.372928163929447         0.13304564083708573        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4309.756827301928     All      -0.5030753158180508        0.30580273803657576        -0.14585487561647523       0.25696936022643957        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6116.953932356416     All      0.8050821899633378         -0.04495716190291432       0.2689315939893263         -0.26488460048524903       
Zeropoint     AB|PS|PS_z                       8510.546310311584     All      0.09361868412491911        -0.018864360901105215      -0.002750094494578283      -0.03676215243380507       
Zeropoint     AB|PS|PS_i                       7405.343216730531     All      0.15781087014144574        -0.02939503438534885       -0.007893438290926551      -0.06133136989337184       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7422.779555152161     All      0.3089541294568099         -0.04179261527035294       0.24247434316429992        -0.10342923769174389       
Check         All|All|All                      All                   All      0.9976941069637243         0.99657316047157           0.0020218518784805017      -0.00027490318723208396    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5400.92056898579      All      5.26631397192111e-05       2.5678619341592695e-06     -0.000549251889101428      -4.082826924819136e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4640.31483667966      All      -0.0001294408993047033     -7.773347205625187e-05     -0.0009993870198146714     -2.775524249712005e-05     
Lambda        AB|PS|PS_r                       6113.971158568327     All      -7.505353098364548e-05     -5.4067519606238746e-08    -0.00012033270937794422    1.905989650790257e-05      
Lambda        AB|PS|PS_g                       4814.4078654016375    All      1.0339513372366333e-05     -2.8501586308785014e-06    4.647993696998263e-05      -2.2221239864355743e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4309.756827301928     All      -0.00029006835875085497    7.923129048116537e-05      -0.0006710326448107602     9.034794035600854e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6116.953932356416     All      -0.0001282905467755433     3.3985701956779456e-06     -0.00013722170336162118    3.6771903456247285e-05     
Lambda        AB|PS|PS_z                       8510.546310311584     All      5.828230136028279e-05      -1.2279183187221206e-05    2.2296255981180075e-05     -2.1989217419570794e-05    
Lambda        AB|PS|PS_i                       7405.343216730531     All      -1.9584008476299843e-05    -3.5283525907356372e-06    -7.806370652911072e-05     1.7462306485589703e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7422.779555152161     All      -6.253225023156162e-05     -5.377102055898457e-06     -0.00024080899505776745    7.871112655618574e-06      
MWEBV         All|All|All                      All                   All      -0.8223271510887571        -4.038386893785795         0.04165178513532841        -1.0457177355483707        
Redshift      All|All|All                      All                   All      5.79075297011995           0.34978000285104116        5.157477143408909          -1.5421493806585953        
