#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4093.0791550604667    All      -1.0792131603333988        0.5560466257604091        -1.322937000592812         0.4736213084731572        
Zeropoint     AB|SDSS|SDSS_r            5348.430856860589     All      1.0358117042576083         0.8612310432884129        0.2669649236458315         -0.04495324639404441      
Zeropoint     AB|SDSS|SDSS_u            3112.731643135974     All      -0.034338552735088845      -0.004845136583853105     0.15771675150390854        0.01664515019780821       
Zeropoint     AB|SDSS|SDSS_z            7711.203033386351     All      0.045112347683742476       -0.010466454035196193     -0.09816921614218213       -0.022484685449647435     
Zeropoint     AB|SDSS|SDSS_i            6485.907224452313     All      1.0257326730985734         -0.4065268176306702       0.999726437831655          -0.42192083672518144      
Check         All|All|All               All                   All      0.9931050119714366         0.9954392607991025        0.0033018962464009816      0.0009076901020921291     
Lambda        AB|SDSS|SDSS_g            4093.0791550604667    All      -0.000905647855000772      0.00045042513062251623    -0.0015439857971885375     0.0003728165900353286     
Lambda        AB|SDSS|SDSS_r            5348.430856860589     All      4.1176016189861707e-07     0.00048652590924152964    -0.0029524586948100483     2.6588699638649624e-05    
Lambda        AB|SDSS|SDSS_u            3112.731643135974     All      -4.726549993959745e-05     -1.897420390619088e-05    1.7182506843536514e-05     9.982182238101326e-06     
Lambda        AB|SDSS|SDSS_z            7711.203033386351     All      -1.6330061866582425e-06    6.879045694733992e-06     -1.3998895338668835e-05    2.1479489315943337e-06    
Lambda        AB|SDSS|SDSS_i            6485.907224452313     All      -0.0004493562106840589     0.00014352003813358213    -0.0009269046781774318     0.00015175580062128105    
MWEBV         All|All|All               All                   All      -0.671185926048949         -3.394670272325584        0.8221737106080512         -0.8504386149587401       
Redshift      All|All|All               All                   All      9.375067057148142          -3.926426868144084        20.389717085257            -3.422834750687953        
