#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4093.0791550604667    All      -1.0730889272373099        0.3766572143163671        -0.4810946357613505        0.4507609695291114        
Zeropoint     AB|SDSS|SDSS_r            5348.430856860589     All      1.0259972303810385         1.2788605838288447        0.07662254078467633        0.08578522525580029       
Zeropoint     AB|SDSS|SDSS_u            3112.731643135974     All      -0.024739569162767316      -0.0029790033710952457    0.1138783822810882         0.0121700013564108        
Zeropoint     AB|SDSS|SDSS_z            7711.203033386351     All      0.06917732288407903        -0.01786156782763726      -0.021884628563117618      -0.02932804065956463      
Zeropoint     AB|SDSS|SDSS_i            6485.907224452313     All      0.9845468211464126         -0.6540353106860408       0.24947744186484344        -0.5226070756667655       
Check         All|All|All               All                   All      0.981892878011453          0.9806419162604385        -0.06300089939386011       -0.003218920185007579     
Lambda        AB|SDSS|SDSS_g            4093.0791550604667    All      -0.0010489509294545965     0.00033925080764693737    -0.0007918676509655937     0.00041684555990854975    
Lambda        AB|SDSS|SDSS_r            5348.430856860589     All      0.0001606191397770036      0.0006882867481691743     -0.0026109767220779978     5.536280047800813e-05     
Lambda        AB|SDSS|SDSS_u            3112.731643135974     All      -3.1742110629360655e-05    -9.251024309393017e-06    9.96478967072961e-05       1.1772914712986062e-05    
Lambda        AB|SDSS|SDSS_z            7711.203033386351     All      1.7814260531278727e-06     3.333529408975794e-06     -1.1855786245068307e-06    4.5266419683729176e-07    
Lambda        AB|SDSS|SDSS_i            6485.907224452313     All      -0.0003820608314765899     0.00018678175325072542    -0.0006560375899650655     0.0001560147996423783     
MWEBV         All|All|All               All                   All      -0.643585536696218         -3.4144389000124065       0.21985177717238208        -0.8927471237275479       
Redshift      All|All|All               All                   All      8.369974394572878          -5.012481916674005        11.116201863127992         -3.8630412560255207       
