#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7283.747688651937     All      0.44309411283566813        -0.05231578556061933      0.18847974677049795        -0.1529603169670128       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5957.329642904296     All      1.0848809304827671         0.044426280428755405      -0.13562340155117703       -0.34496255897932343      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3442.8830211517056    All      -0.21303246283141927       0.08469791551339867       0.051627440968582405       0.09928447483958103       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5146.395544739077     All      0.42348902758443957        0.3362638490863823        -0.011264276485745128      -0.02891478318456167      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4602.197877354899     All      -0.26139667233038305       0.28426635857625726       -0.026134735492755468      0.17657412773424522       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4212.899344690128     All      -0.48345285166865926       0.30066401548420885       -0.0655269414043147        0.2524884938698622        
Check         All|All|All                              All                   All      0.9935820840724131         0.9980026335283831        0.001557832805088033       0.0015094373127905736     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7283.747688651937     All      -4.9728546840832086e-05    -6.970724655074557e-06    -0.00030304243668179685    4.0423725092877925e-07    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5957.329642904296     All      -5.0006001848750396e-05    4.142304078581297e-06     -0.00023301575781234217    7.239461598384631e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3442.8830211517056    All      -0.00048623415207614583    0.0001916949089813834     -1.0480823069312756e-05    0.0002203560873931705     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5146.395544739077     All      0.00013724873406117689     6.97233042385415e-05      -0.0008043383763597761     -5.788918155828166e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4602.197877354899     All      -0.00013187739365376147    2.086745914614479e-05     -0.0004283076385875958     3.0640620948992066e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4212.899344690128     All      -0.0004030651559960101     0.0001417894156527038     -0.0005466710435092491     0.00015308164126643216    
MWEBV         All|All|All                              All                   All      -0.9912135193613021        -3.8159179230180307       0.07667410272742536        -0.9166775412322709       
Redshift      All|All|All                              All                   All      6.6770107734766            -0.29686213605453204      9.346954670965468          -1.8545081822830174       
