#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6092.582055542237    All      1.061062831128258          -0.11156403496617173       -0.5359521032296422       -0.40588022939312407      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.158333067278    All      -1.0208868091471062        0.7720847057774982         0.02601740750273196       0.5851908468249116        
Zeropoint     AB|CNIa02|SDSS_i                      7388.320617237051    All      0.4915397423508189         -0.07565949327830168       0.30922262267545353       -0.17095626590312163      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.494309723782    All      0.4628821307866286         0.41335100233723665        0.19633224555919426       -0.007372511663772743     
Check         All|All|All                           All                  All      0.9945978951185995         0.9982121798702615         -0.0043798274922624       0.000981839864893183      
Lambda        AB|CNIa02|SDSS_r                      6092.582055542237    All      -0.0001526985986589045     -2.0348009689432662e-05    -0.0005536349001026221    1.8404758193945482e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.158333067278    All      -0.000316881851180374      0.00012283922785469827     -0.0004969325229673651    0.0001210558056640206     
Lambda        AB|CNIa02|SDSS_i                      7388.320617237051    All      -8.187123503441214e-05     -1.584929626066385e-05     -0.0002618727190783816    9.81934080130619e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.494309723782    All      -2.6640079125818347e-05    4.5838571567159185e-06     -0.0006433310393865321    -1.85382462910165e-05     
MWEBV         All|All|All                           All                  All      -0.8660484975901777        -4.033424348372527         0.05195074311707959       -1.0294001951059641       
Redshift      All|All|All                           All                  All      5.282720313480416          -0.5470244423469772        3.5323222227550577        -1.7413083424462381       
