#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6092.582055542237    All      1.077765889683156          -0.13027394217415278       -0.5314942185313918        -0.4172164624743027        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.158333067278    All      -1.0954443230037703        0.7648338258276155         -0.1349604243598998        0.5999311305192442         
Zeropoint     AB|CNIa02|SDSS_i                      7388.320617237051    All      0.524931322292578          -0.09347533338459613       0.2980699382575131         -0.1881339003699983        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.494309723782    All      0.4901135421339531         0.4572934132523798         0.3696790919003712         0.0058064842699601365      
Check         All|All|All                           All                  All      0.9973664311059165         0.9983779635212464         0.0012943872665926448      0.0003872519449032979      
Lambda        AB|CNIa02|SDSS_r                      6092.582055542237    All      -0.00021537494357490062    -4.898901934712022e-05     -0.0008134374577488193     1.7897391699085386e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.158333067278    All      -0.00028688591067528986    0.00010457496631243795     -0.00042992005714257087    0.00010832632871635037     
Lambda        AB|CNIa02|SDSS_i                      7388.320617237051    All      -0.00012115351401560155    -1.3550902272668977e-05    -0.00038063028156467307    1.8063929370870477e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.494309723782    All      -3.2866292596904456e-05    2.3597140431440475e-06     -0.000619513011595126      -1.6171751123284615e-05    
MWEBV         All|All|All                           All                  All      -0.8801380014509972        -4.032069568569163         0.0467853725257463         -1.0245999905805012        
Redshift      All|All|All                           All                  All      5.244088432651033          -0.4310257944989182        3.0921140955336384         -1.710584558977799         
