#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6502.219157596987    All      1.2340726633236758         -0.12034220776619975      0.19713865729380817       -0.43238008958977975      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4356.768789328188    All      -1.0675562174867872        0.7894379840314159        -0.08204608275235807      0.6012227648798469        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5349.135900543314    All      0.4288616569495362         0.4143975046915216        -0.1804787102237684       -0.012765386175462825     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7800.634436290633    All      0.4027860442060297         -0.08530451876422873      0.06708439699016144       -0.1559934855317936       
Check         All|All|All                                      All                  All      0.9981641469924544         0.998188762192509         0.0016982613078431325     8.380358281076528e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6502.219157596987    All      -0.0003212234792183376     6.181065207822104e-06     -0.0004998256481023869    8.434150835053182e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4356.768789328188    All      -0.0005448669257049508     0.00020447059509618034    -0.001107152607798023     0.0001946767470790886     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5349.135900543314    All      7.045010910357376e-05      4.9277921384121414e-05    -0.0008587669716896139    -4.521930385698028e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7800.634436290633    All      -1.9197504554062345e-05    9.858987008905428e-06     6.236493956951398e-05     1.2247716053417327e-05    
MWEBV         All|All|All                                      All                  All      -0.8311961651654745        -4.050750833576533        0.003340860682182284      -1.0485657884357          
Redshift      All|All|All                                      All                  All      4.1037927055973995         0.025363005145884188      0.7244109068883325        -1.2961515981132943       
