#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6502.219157596987    All      1.1833588760802956        -0.15851248020375408      -0.14153855989498254      -0.4434078628630822       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4356.768789328188    All      -0.9153856060980301       0.736982821053811         -0.2140702963373542       0.5286777838936885        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5349.135900543314    All      0.2682101188202084        0.5045865242232495        0.13207266282271313       0.08288936814649928       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7800.634436290633    All      0.45997523648564986       -0.08420571186693593      0.22299720573975002       -0.16730629679682085      
Check         All|All|All                                      All                  All      0.9961586252881237        0.9988511532063704        -0.0005389876698735918    0.0008529923802846895     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6502.219157596987    All      -5.411020610324113e-05    9.10918050906979e-06      -9.559552966449395e-05    1.6326644641132005e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4356.768789328188    All      -0.0008441680892352147    0.0005227037186633673     -0.0010405717024670493    0.00039879918067120405    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5349.135900543314    All      1.7340205876696462e-05    0.0002692662437027103     -0.0006163650406923055    5.4555057736536806e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7800.634436290633    All      -1.731548897364313e-05    3.1804454412871997e-06    2.3637601324078524e-05    7.73103771867397e-06      
MWEBV         All|All|All                                      All                  All      -0.7940746082760515       -4.064309894955542        0.01953698843832896       -1.064351374352912        
Redshift      All|All|All                                      All                  All      3.9623261186563017        -1.814708629477657        2.5610007445787453        -1.7674845752855606       
