#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7238.21279981325      All      0.06795597484494306        0.005471043126448194       0.07027353140229564       -0.017217413002078297     
Zeropoint     AB|SDSS|SDSS_i            6088.074258604445     All      1.1475831745823228         0.08758189015090068        0.013370933093656556      -0.3446806080122447       
Zeropoint     AB|SDSS|SDSS_g            3842.0176206665187    All      -1.1301298627149727        0.49362653835824943        -0.36069351680523554      0.5128147847787964        
Zeropoint     AB|SDSS|SDSS_r            5020.3684845844       All      0.9131124676412535         0.41221385840941593        0.2812756117985121        -0.1506071173991666       
Check         All|All|All               All                   All      0.9985217543535468         0.9988933300450142         0.004226559489228787      0.0003096463653067816     
Lambda        AB|SDSS|SDSS_z            7238.21279981325      All      -3.4125081249594126e-05    -3.424197469761413e-06     -3.874747755471351e-05    8.271165913627676e-06     
Lambda        AB|SDSS|SDSS_i            6088.074258604445     All      -0.0002702129148087349     -4.2498192802625446e-05    -0.0005360606133606484    5.025225341228033e-05     
Lambda        AB|SDSS|SDSS_g            3842.0176206665187    All      -0.0012817671311409545     0.0003188652873697041      -0.0021315280283077066    0.0004262583318021182     
Lambda        AB|SDSS|SDSS_r            5020.3684845844       All      -0.00027066031833805333    -0.00013036628334403045    -0.0016112323058293859    -2.620351495263942e-05    
MWEBV         All|All|All               All                   All      -0.5579881514352416        -3.093638858911163         0.15999413580117527       -0.8188050524010295       
Redshift      All|All|All               All                   All      6.763791142609458          1.6787890328551214         10.114806910756375        -1.204975101948115        
