#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7238.21279981325      All      0.12331877712863742        0.01131087126715613        0.16706288525548577       -0.029029410612859855     
Zeropoint     AB|SDSS|SDSS_i            6088.074258604445     All      1.1404013562415285         0.07692156723582144        -0.10752933470944596      -0.35120889506869746      
Zeropoint     AB|SDSS|SDSS_g            3842.0176206665187    All      -1.0914678856064728        0.5190615741604176         -0.2339675902569392       0.5141615309126025        
Zeropoint     AB|SDSS|SDSS_r            5020.3684845844       All      0.8256581998526002         0.3913556915197347         0.17683987378412194       -0.13357506372131622      
Check         All|All|All               All                   All      0.9979104476162933         0.9986497041831299         0.0024058340732225625     0.00034816150972899473    
Lambda        AB|SDSS|SDSS_z            7238.21279981325      All      -3.238047429868955e-05     -3.784472609614973e-06     -5.822544957503162e-05    6.716324135926789e-06     
Lambda        AB|SDSS|SDSS_i            6088.074258604445     All      -0.0001768245086754638     -3.6122252082171764e-05    -0.0004663872327416289    2.5018633781006148e-05    
Lambda        AB|SDSS|SDSS_g            3842.0176206665187    All      -0.00143166736104761       0.00047012138576612623     -0.0017891479432767309    0.0005396337063794215     
Lambda        AB|SDSS|SDSS_r            5020.3684845844       All      -0.00017854692197738042    -6.87336389561443e-05      -0.001413801608979826     -2.732167342312706e-05    
MWEBV         All|All|All               All                   All      -0.5522941459566413        -3.1034947296276982        0.11806361294710424       -0.8257413253085679       
Redshift      All|All|All               All                   All      6.539109463136528          1.106712019247169          9.55963332328118          -1.3429080386318688       
