#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5978.974018698384    All      1.1888188959628243         -0.009908043519324394     0.076141062624791         -0.3870669752125578       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4618.91874161912     All      -0.3912434487097567        0.45992337845426334       0.05129032030751176       0.27954188959157955       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4228.205796081104    All      -0.4947849965200343        0.27493198226888893       -0.14880648803034924      0.24408159281067277       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3455.391822643604    All      -0.20329919985693173       0.07847372652829421       0.013005573803723898      0.09236309120401827       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5165.697444492073    All      0.453481900598795          0.23992390881080183       -0.12807206726262113      -0.07527813192279229      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7310.211252297484    All      0.44149599055934113        -0.04517919066620024      0.1376793657653085        -0.15238211990739223      
Check         All|All|All                              All                  All      0.9944691420342378         0.9981657618767237        0.0012377672083647984     0.0012593465635282741     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5978.974018698384    All      -0.00015213502738389476    -2.713241565547405e-05    -0.0006494539819115395    1.1735314725257261e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4618.91874161912     All      -0.00011245105657299898    -4.504100005323707e-05    -0.00049098511890558      4.7262289803724926e-08    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4228.205796081104    All      -0.0003986639365495102     0.00014385778772687822    -0.0005566962689214705    0.00015187437636291433    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3455.391822643604    All      -0.0004811512851257185     0.0001669719691081222     -3.250577992265193e-05    0.00020966448286138028    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5165.697444492073    All      0.00014062800529880727     4.319830830602962e-05     -0.0010621843113520618    -7.913646503192513e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7310.211252297484    All      -8.799088986464512e-05     -2.486831692794895e-05    -0.0004916654902459396    -1.379674015308652e-06    
MWEBV         All|All|All                              All                  All      -0.9620689246162404        -3.8546242000530917       0.018611471403802357      -0.9413698709623879       
Redshift      All|All|All                              All                  All      7.231386188408718          0.2570977365595084        13.066646003609705        -1.6886507978354006       
