#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5978.974018698384    All      1.174308127853926          -0.004738576732776778      -0.0174997933424903       -0.3848352365715388        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4618.91874161912     All      -0.3656473768944773        0.4418973664341408         0.13113326090372635       0.2688957654959051         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4228.205796081104    All      -0.49644916613362433       0.27908350499687984        -0.16515835800856582      0.24524624628121522        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3455.391822643604    All      -0.2017423507978192        0.07903235650630336        0.013305798055185392      0.09205133603833321        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5165.697444492073    All      0.4271821255663583         0.2432509465505106         -0.28172511029624925      -0.07248453391740517       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7310.211252297484    All      0.45724539290642585        -0.04063618474177133       0.3205370059848667        -0.1478723152535083        
Check         All|All|All                              All                  All      0.9948967525007893         0.9978894130132865         0.0005928032964730434     0.0010012620730012745      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5978.974018698384    All      -0.00019964905393616205    -3.908313557916426e-05     -0.0010492340260075197    5.479106447546456e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4618.91874161912     All      -0.0001499344474130238     3.570069138729499e-06      -0.0005098208703749293    2.7250507267227357e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4228.205796081104    All      -0.0003743043639296798     0.00012843517564186502     -0.0005304675876457802    0.00014008647559090323     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3455.391822643604    All      -0.0004670272487005961     0.0001868089327300004      0.0002123498335140551     0.0002224521526456098      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5165.697444492073    All      5.548194212093611e-05      5.399672896188994e-05      -0.0012997343708930637    -5.8484958296871636e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7310.211252297484    All      -0.00016303790867374296    -2.4357311304605016e-05    -0.0008430816174729867    7.549972565256925e-06      
MWEBV         All|All|All                              All                  All      -0.9555027571200365        -3.8531511750987235        0.006698071149568996      -0.9435605153847545        
Redshift      All|All|All                              All                  All      8.212968088112763          -0.008187203420462197      16.729705246061677        -1.9313308380530219        
