#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7906.85198203566      All      0.11532741996382403        -0.007984289015183776     0.4203060024959219         -0.02141035395344186      
Zeropoint     AB|SDSS|SDSS_i            6650.4679193279335    All      1.2017791704197542         -0.023559576476905875     3.818388934163602          -0.22873598140594353      
Zeropoint     AB|SDSS|SDSS_r            5484.131456305026     All      0.46654996829034234        0.31947345921974346       -4.395762229864975         -0.2440703369909122       
Zeropoint     AB|SDSS|SDSS_g            4196.928921427506     All      -0.7279345159071309        0.6640384818322076        -0.7888052000892855        0.4182106466863539        
Zeropoint     AB|SDSS|SDSS_u            3191.7079936185455    All      -0.05318586853349644       0.04898423328683066       1.057494572137839          0.08047128931700687       
Check         All|All|All               All                   All      1.0025361742332934         1.000952308846692         0.11162207884310293        0.004465263653063101      
Lambda        AB|SDSS|SDSS_z            7906.85198203566      All      -1.4424327256257445e-05    3.36003056534828e-06      -0.00010158542245350593    1.2596595913600693e-06    
Lambda        AB|SDSS|SDSS_i            6650.4679193279335    All      -0.00026017038276578125    -2.122684730877846e-05    -0.0005705038704713401     5.2372802997533944e-05    
Lambda        AB|SDSS|SDSS_r            5484.131456305026     All      0.00012274198194393344     8.736814085207853e-05     -0.0006279053818444119     -3.95429571350291e-05     
Lambda        AB|SDSS|SDSS_g            4196.928921427506     All      -0.0003494501964421183     0.00032995699437316146    -0.0005414173856521933     0.00019714430259965124    
Lambda        AB|SDSS|SDSS_u            3191.7079936185455    All      -3.6188885144363824e-05    3.415369901816782e-05     0.0007818356420044557      5.780262772545345e-05     
MWEBV         All|All|All               All                   All      -0.7145860494133083        -3.4726686349387137       1.6534726431404023         -0.8246113463893063       
Redshift      All|All|All               All                   All      0.9597176326443275         -0.07475839668131812      -10.002506996723264        -0.7833288234126167       
