#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_z 7906.85198203566 All 0.17428192252579205 0.0033984979847758723 1.201942502496279 -0.0020251797065231076
Zeropoint AB|SDSS|SDSS_i 6650.4679193279335 All 0.9383391506683803 0.09362523444800175 2.435646118853959 -0.16645941300892056
Zeropoint AB|SDSS|SDSS_r 5484.131456305026 All 0.36062593596390835 0.21350853082445198 -3.325664483025498 -0.1963301105257165
Zeropoint AB|SDSS|SDSS_g 4196.928921427506 All -0.6308551506004267 0.7012284866026341 1.4275364243681405 0.49760785906889127
Zeropoint AB|SDSS|SDSS_u 3191.7079936185455 All 0.05292270809332508 0.058312675215098864 1.4682148566374207 0.06727537540100992
Check All|All|All All All 0.895314566650979 1.0700734250749626 3.207675419330301 0.20006853122874102
