#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5440.232339432997    All      0.9837823527397735         0.5984931285418327         0.3261556803311638        -0.11094654592591902      
Zeropoint     AB|CNIa02|SDSS_i                      7438.553360491505    All      0.3762758815582886         -0.08482372871956301       0.25940835611533153       -0.13861910928014698      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4348.524028312573    All      -1.1605132961467697        0.6803281304929243         -0.2385023082216886       0.5889793519261638        
Zeropoint     AB|CNIa02|SDSS_r                      6134.005150993555    All      0.7983174017008343         -0.1951147006409748        -0.3432980477479308       -0.33891333383820055      
Check         All|All|All                           All                  All      0.9978623398521266         0.9988828296742192         0.003763680476875919      0.0005003628818972539     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5440.232339432997    All      5.763091702424742e-05      -1.9216008237032598e-07    -0.0010444791013660992    -6.544518371132683e-05    
Lambda        AB|CNIa02|SDSS_i                      7438.553360491505    All      -7.5128713764019815e-06    2.808105119417591e-05      0.00020407034437448795    2.070083379475008e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4348.524028312573    All      -0.0004816951378076831     6.963982447833257e-05      -0.0015615539751957994    0.00010990295364305902    
Lambda        AB|CNIa02|SDSS_r                      6134.005150993555    All      0.00011861989876863848     -9.157376950885447e-06     0.00016119619638355276    -3.442781655210984e-05    
MWEBV         All|All|All                           All                  All      -0.89468511106752          -4.065597773771934         0.08772135008341397       -1.0289559732061846       
Redshift      All|All|All                           All                  All      4.153718110603094          -1.0268302232617543        -0.40970308270127376      -1.7057581942003006       
