#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5440.232339432997    All      1.015378244137895          0.47724832614077783       -0.2392161128359927        -0.18596173467610685       
Zeropoint     AB|CNIa02|SDSS_i                      7438.553360491505    All      0.42334566481038166        -0.08059412044820746      0.38946443061803043        -0.146769758392156         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4348.524028312573    All      -1.2859797529868304        0.7763710230705101        0.030720853962843478       0.6731464277036645         
Zeropoint     AB|CNIa02|SDSS_r                      6134.005150993555    All      0.8482782598672771         -0.17458267780767756      -0.17247096284231997       -0.34087604546721584       
Check         All|All|All                           All                  All      1.0010224158287233         0.9984425509554029        0.008498208902561227       -0.0004611108318142154     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5440.232339432997    All      8.659114384143942e-05      -9.420744203941198e-05    -0.0011903308539705673     -0.00011201104653902903    
Lambda        AB|CNIa02|SDSS_i                      7438.553360491505    All      -9.990318892766287e-05     2.938422948264019e-05     -2.0003127587121994e-05    4.1220517892790666e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4348.524028312573    All      -0.00039378524747358244    4.871604145607125e-05     -0.0012218976209032385     8.960954881625735e-05      
Lambda        AB|CNIa02|SDSS_r                      6134.005150993555    All      -5.5234053253606094e-05    2.35976692674227e-05      0.00010750438306279567     3.0475512378055964e-05     
MWEBV         All|All|All                           All                  All      -0.9055468798045831        -4.061079518283339        0.08919218244401773        -1.023880556835155         
Redshift      All|All|All                           All                  All      4.58107060303311           -0.5103438806604466       0.002170667606072631       -1.658344332974438         
