#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6006.845771483243    All      1.204655149019885          0.16952209286840159        -1.1036977741968101       -0.3864298538164321        
Zeropoint     AB|PS|PS_z                8361.429550655303    All      0.26535477069711616        -0.1016896038309234        0.1474918375304335        -0.11297654488155381       
Zeropoint     AB|PS|PS_g                4730.052657830231    All      -1.1439840140087207        1.1432099997628953         0.24740930660824834       0.7560550777775069         
Zeropoint     AB|PS|PS_i                7275.591172107553    All      0.6753690070910472         -0.21452654890392608       0.710601345857742         -0.25815738489005297       
Check         All|All|All               All                  All      1.0013949127993274         0.9965159398964474         0.0018047157996137209     -0.0015087058105319184     
Lambda        AB|PS|PS_r                6006.845771483243    All      -0.00016257331327096522    5.581356935133141e-06      -0.0006088189469594124    2.760471481194099e-05      
Lambda        AB|PS|PS_z                8361.429550655303    All      0.0003362004049914496      -0.00012622034316279738    0.0001729908701948532     -0.00014290586284610818    
Lambda        AB|PS|PS_g                4730.052657830231    All      -0.00024781195914781       2.573513025722294e-05      -0.0013311166481038297    2.9701664043911498e-05     
Lambda        AB|PS|PS_i                7275.591172107553    All      -0.00012139015605146201    7.218684970336065e-06      -0.0006685580019965402    1.2057457572727057e-05     
MWEBV         All|All|All               All                  All      -0.6990114579110274        -4.01477304511868          0.1514152359835541        -1.073295667712673         
Redshift      All|All|All               All                  All      5.680300336297005          0.1557886196812852         12.926463403590226        -1.2226665245354589        
