#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6006.845771483243    All      1.1522538894684575         0.17850257679032921        -1.2579973724259617       -0.3733214829643274        
Zeropoint     AB|PS|PS_z                8361.429550655303    All      0.2677734702769542         -0.09687878039308373       0.19953212846770604       -0.10987503227034598       
Zeropoint     AB|PS|PS_g                4730.052657830231    All      -1.1298380320831076        1.1325590982027123         0.2632338399651527        0.7486840932772136         
Zeropoint     AB|PS|PS_i                7275.591172107553    All      0.7113394308948132         -0.21786259346932013       0.7997187203836097        -0.26698389565849473       
Check         All|All|All               All                  All      1.001528758557117          0.9963203011306376         0.0044873163905068125     -0.0014963176159544234     
Lambda        AB|PS|PS_r                6006.845771483243    All      -0.00025307633949847705    -2.499590100836615e-06     -0.0010314346010474546    3.5592901972032295e-05     
Lambda        AB|PS|PS_z                8361.429550655303    All      0.00037052609117506265     -0.00013145772722062573    0.0002830377250221388     -0.00015088197070607667    
Lambda        AB|PS|PS_g                4730.052657830231    All      -0.0003208882068469346     7.123322457800826e-05      -0.0013660987551419894    6.676413744967111e-05      
Lambda        AB|PS|PS_i                7275.591172107553    All      -0.0002166866651467312     2.1698185918473252e-05     -0.0011836651725041635    2.482824834922934e-05      
MWEBV         All|All|All               All                  All      -0.6960839952318767        -4.014055346566536         0.1571883028959992        -1.0737578351263544        
Redshift      All|All|All               All                  All      7.185860248903955          -0.14966162114120607       19.27805995885834         -1.5291295295379703        
