#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5757.972071546664     All      1.0088151014152298         0.0710765721947837         -1.1693326576442065       -0.3576342356083721        
Zeropoint     AB|SDSS|SDSS_z            6845.748816275097     All      0.03912166930746689        0.0018422664243900044      -0.013965445343468164     -0.012766341659652125      
Zeropoint     AB|SDSS|SDSS_g            3633.6991335021926    All      -1.0677648882116955        0.34516950344105624        -0.15191356557321262      0.4534600108043067         
Zeropoint     AB|SDSS|SDSS_r            4748.158497287504     All      1.019668073553317          0.5807738603719415         1.345213778282303         -0.08293157184257327       
Check         All|All|All               All                   All      0.999839956064318          0.9988622024321714         0.010002109721415797      0.00012786169370920808     
Lambda        AB|SDSS|SDSS_i            5757.972071546664     All      -0.00025734309774303723    1.9570375791207662e-05     0.0008380959555145752     0.00012760020177190285     
Lambda        AB|SDSS|SDSS_z            6845.748816275097     All      -8.8892320020833e-05       -1.3028956245208504e-05    -7.653580116906367e-05    2.1295752122300576e-05     
Lambda        AB|SDSS|SDSS_g            3633.6991335021926    All      -0.002156957619660363      0.00039096492942948085     -0.003119498504485748     0.00069073330748381        
Lambda        AB|SDSS|SDSS_r            4748.158497287504     All      -0.0001897547995977343     -9.730793251431359e-05     -0.0009965253753040258    -1.4357364603658254e-05    
MWEBV         All|All|All               All                   All      -0.5717433136214689        -2.8498710538546135        0.07609422277954914       -0.7386654174958783        
Redshift      All|All|All               All                   All      6.220135431713063          -0.5797379263881908        -4.543459484816919        -2.4176961913749744        
