#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5757.972071546664     All      1.082201669633192         0.08416408692077937        -0.9063694200958579       -0.36554077956532416       
Zeropoint     AB|SDSS|SDSS_z            6845.748816275097     All      0.13417205906438293       0.01625430721023946        0.12542222533968786       -0.03281267328423656       
Zeropoint     AB|SDSS|SDSS_g            3633.6991335021926    All      -1.1667098256170063       0.32011169629715397        -0.6591998116325196       0.4548896246646597         
Zeropoint     AB|SDSS|SDSS_r            4748.158497287504     All      0.9486343244770126        0.5783701699019872         1.4463120853070255        -0.0560649507778381        
Check         All|All|All               All                   All      0.998298227557581         0.99890026033016           0.006165078918335842      0.00047122103726091047     
Lambda        AB|SDSS|SDSS_i            5757.972071546664     All      -0.0002573478277248159    -2.9993325714666096e-06    0.0004741767835474724     0.0001040100047229163      
Lambda        AB|SDSS|SDSS_z            6845.748816275097     All      -7.409198039111691e-05    -9.446315334558357e-06     -7.964854199125345e-05    1.750287127158203e-05      
Lambda        AB|SDSS|SDSS_g            3633.6991335021926    All      -0.0022759680674681497    0.00048802813889328874     -0.002470847096897534     0.0007900619394418491      
Lambda        AB|SDSS|SDSS_r            4748.158497287504     All      -0.0001066183272905457    -6.274892115400192e-05     -0.0008515142164592724    -2.3709459777972815e-05    
MWEBV         All|All|All               All                   All      -0.5616482595171277       -2.856157262506187         0.04494710911248104       -0.7453912863324592        
Redshift      All|All|All               All                   All      6.420446184769623         -0.7652414396396523        -3.4763144079176675       -2.495746807261888         
