#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4886.865448580734    All      -2.266997422130223         1.5139020681409932         -0.372894399769641         1.2149227874601876        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5852.026206582546    All      3.261923588079766          -0.5097895578089151        0.3776428385968478         -1.211718591856975        
Check         All|All|All                            All                  All      0.9949261659495431         1.004112510332078          0.004748438827206769       0.0032041956032125007     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4886.865448580734    All      -0.00036308043311769395    -0.00011630142862180347    -0.0017368667604138561     2.8756541756326364e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5852.026206582546    All      -0.0010151714318737855     0.00013118216570411168     -0.00033951100431591245    0.00035825426383928903    
MWEBV         All|All|All                            All                  All      -0.383296026565787         -2.7406133757283513        -0.015579384915676009      -0.7685510504547272       
Redshift      All|All|All                            All                  All      6.078674331269948          1.9353723420636015         8.12264673750236           -0.9871333505434926       
