#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          5658.160508465153     All      0.5339464823607201        0.5123030931116546         -0.023427158305729806     -0.008095410402915448     
Zeropoint     AB|DECam|DECam_g          4257.2191446760635    All      -0.8561521028752291       0.7737898402474741         -0.02551948953040395      0.5297868967612501        
Zeropoint     AB|DECam|DECam_i          6873.958299964061     All      0.8636680321975276        -0.1803930130215292        -0.04375828220899783      -0.34203776217644616      
Zeropoint     AB|DECam|DECam_z          8055.26814415296      All      0.45422220700438526       -0.10705588415707012       0.09076343769511275       -0.17877638442906352      
Check         All|All|All               All                   All      0.9956846186874042        0.9986440361805293         -0.0019414923500188364    0.000877339752824946      
Lambda        AB|DECam|DECam_r          5658.160508465153     All      -2.686562352220069e-05    -0.00014344597138048125    -0.0007588944413261784    -7.184002811725309e-05    
Lambda        AB|DECam|DECam_g          4257.2191446760635    All      -0.0007897080201376371    0.0006432777579945761      -0.0002750963777027198    0.00045449432390454094    
Lambda        AB|DECam|DECam_i          6873.958299964061     All      -0.0004724747277770884    -1.5780341751100543e-06    -0.0006465559177244943    0.00012453372406310184    
Lambda        AB|DECam|DECam_z          8055.26814415296      All      0.00013565785430432609    8.257597028882137e-06      0.00030910389552075236    -2.770456794433253e-05    
MWEBV         All|All|All               All                   All      -0.5208636117461292       -3.537410487019166         0.028150441876506616      -0.9813323337902136       
Redshift      All|All|All               All                   All      0.564071341329373         0.5488702401981627         -3.337386514898861        -0.1538837308379004       
