#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7549.058475752371    All      0.3851989511212598        -0.08796614096659994       0.1509845413743327         -0.14738769052754924       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5492.802917724762    All      0.6503306926706027        0.19966398680759667        -0.03648776737734116       -0.14842525406960974       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6221.017690979427    All      1.2796719715049323        -0.21705275682362135       -0.1434799822539634        -0.4939353374258458        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4719.257494812937    All      -0.5528490652103312       0.5839428396849033         0.08141556271688555        0.3739237254030775         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4383.075917025309    All      -0.7638999253344456       0.5184784539542964         -0.05160260565928998       0.41541003984150465        
Check         All|All|All                      All                  All      0.9984526247520182        0.9970663826565751         0.0008297488006236975      -0.0004145167784226911     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7549.058475752371    All      2.8330029851102646e-06    -1.2579617619204234e-06    1.99529661304625e-05       -4.4215256910662067e-07    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5492.802917724762    All      0.0001900672794547339     -0.0001263662468428414     -0.0017928479264647439     -0.000183079378574347      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6221.017690979427    All      0.00018456473998721199    -0.00010766877790828174    -0.0004216367077258402     -0.00011400578073418041    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4719.257494812937    All      -0.0006453440244072598    0.0005890586203695927      -0.00011699935137208115    0.00039686440835142583     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4383.075917025309    All      -0.0007550022224063108    0.0005533670420550923      6.334082684533535e-05      0.00042900552369355504     
MWEBV         All|All|All                      All                  All      -0.917093865173086        -4.116594587687894         0.021168626235013033       -1.041237987205411         
Redshift      All|All|All                      All                  All      10.12433965244696         -2.558185560707482         5.458852367723344          -3.8875121950411544        
