#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7549.058475752371    All      0.33725822349400625       -0.07258540257719659       0.1357573425915003        -0.1274413257772532        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5492.802917724762    All      0.7152431214222241        0.1800982463739942         -0.010168666030364672     -0.17476807240859604       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6221.017690979427    All      1.3234946345883047        -0.22388447493999486       -0.05162924531428674      -0.5063362593278036        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4719.257494812937    All      -0.5598328428286595       0.5747185928435483         0.01628400205375494       0.3702874084539323         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4383.075917025309    All      -0.8172292901004626       0.5387162896838493         -0.08963908798344719      0.43767590382103577        
Check         All|All|All                      All                  All      0.998933846575413         0.9970632513842004         0.0006043453171566265     -0.0005823452386847228     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7549.058475752371    All      7.857251229733556e-06     -5.255543390930118e-06     3.4998931650470614e-06    -4.1150844485512144e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5492.802917724762    All      0.00020425495580845236    -0.00011164063779959194    -0.0016868506729552104    -0.00017817398560355315    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6221.017690979427    All      0.00011599856779378982    -0.00012164046437450018    -0.0006466954688639484    -0.00010626589947969086    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4719.257494812937    All      -0.0005801154839053193    0.0005891956129425593      -9.791751852964194e-05    0.00037651348430270935     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4383.075917025309    All      -0.0007772022215645865    0.000513917899124478       -8.748344330476391e-05    0.00041665631562094854     
MWEBV         All|All|All                      All                  All      -0.9081831579627337       -4.118402154742218         0.021862998184142834      -1.0446982951232107        
Redshift      All|All|All                      All                  All      9.351696019182352         -2.6394619486123982        3.8428045251220926        -3.734427930896751         
