#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5975.79669790613      All      0.8956252150886648        0.05796857157616131        -0.46124954210000624       -0.2934357754984379       
Zeropoint     AB|PS|PS_i                7237.9840194997405    All      0.8381991286710887        -0.150513895543547         0.18956935832001864        -0.3135967498777828       
Zeropoint     AB|PS|PS_g                4705.603261494169     All      -0.984924396186067        1.157283719931712          0.25153459027108527        0.7090124934804293        
Zeropoint     AB|PS|PS_z                8318.209755907012     All      0.249087452136496         -0.06553238323290245       0.020655019125581653       -0.10156029242644748      
Check         All|All|All               All                   All      0.9979873997101827        0.999206012731424          0.0005094256166793265      0.0004196756777610222     
Lambda        AB|PS|PS_r                5975.79669790613      All      -7.463800609122242e-05    -1.9884695813927994e-06    -0.0003114142661839096     9.767355714213029e-06     
Lambda        AB|PS|PS_i                7237.9840194997405    All      -0.0005334225915939485    1.3374730940260778e-05     -0.0012916216030802534     0.00012047073710495589    
Lambda        AB|PS|PS_g                4705.603261494169     All      -0.0001701656836225026    -3.832405374038973e-06     -0.0010800774695663585     5.981324077482905e-06     
Lambda        AB|PS|PS_z                8318.209755907012     All      0.0001930433322229359     -6.307715640044813e-05     -0.00010151624812462697    -8.795707316497001e-05    
MWEBV         All|All|All               All                   All      -0.676655744975919        -3.968753891797938         -0.0020937143097032873     -1.0724381060854882       
Redshift      All|All|All               All                   All      6.0280644143263205        0.5049898362269545         10.81533573301966          -1.3164083331191117       
