#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5975.79669790613      All      0.9612146715501796         0.05568326873168772        -0.27387668111731056      -0.30718322740441806       
Zeropoint     AB|PS|PS_i                7237.9840194997405    All      0.8271627781068112         -0.13749526709645465       0.2906660545643937        -0.30124977059542146       
Zeropoint     AB|PS|PS_g                4705.603261494169     All      -1.0537093745120747        1.1487056274999574         -0.033887407264321205     0.7158867841097135         
Zeropoint     AB|PS|PS_z                8318.209755907012     All      0.26333383683957684        -0.067780476217294         0.018320941930687496      -0.1070372456066341        
Check         All|All|All               All                   All      0.9980019119844926         0.9991131529178965         0.0012229081134494356     0.0004165405032399011      
Lambda        AB|PS|PS_r                5975.79669790613      All      -0.0001083239920468453     -2.0875566952117248e-05    -0.0003181033808908696    1.4289336127908444e-05     
Lambda        AB|PS|PS_i                7237.9840194997405    All      -0.0005017024523503466     4.681380715662532e-06      -0.0012488742625410467    0.00010921435149768262     
Lambda        AB|PS|PS_g                4705.603261494169     All      -0.00015167419683925504    -7.912117821552016e-05     -0.0011956838650605997    -2.9724974231129396e-05    
Lambda        AB|PS|PS_z                8318.209755907012     All      0.00020508231557912591     -6.0297056032667054e-05    -5.111016976211639e-05    -8.872360419192277e-05     
MWEBV         All|All|All               All                   All      -0.6854246179422758        -3.9653064213775124        0.006786033377786542      -1.0680625787825668        
Redshift      All|All|All               All                   All      5.936622152365121          0.8360316828310843         10.283262354815825        -1.2025353507896643        
