#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7378.326225980719    All      0.07423327669636884        0.0038098074536918602      0.12695634018094204       -0.017273762422764793      
Zeropoint     AB|SDSS|SDSS_r            5117.550074633321    All      0.5227425939786433         0.33952513064612333        -1.351772004440474        -0.12000333157682896       
Zeropoint     AB|SDSS|SDSS_i            6205.923922150819    All      1.2499030918876117         0.06976802989981934        0.47866612232536354       -0.363048144374338         
Zeropoint     AB|SDSS|SDSS_g            3916.38932914147     All      -0.8484818398028762        0.5856796075988768         0.7535286777617972        0.5007800899853809         
Check         All|All|All               All                  All      0.9983971227597479         0.9987825755985114         0.0073791358276289465     0.0004548516114490919      
Lambda        AB|SDSS|SDSS_z            7378.326225980719    All      -2.126972175008149e-05     4.4483807564573235e-07     3.612830206525838e-05     8.68538671292105e-06       
Lambda        AB|SDSS|SDSS_r            5117.550074633321    All      -9.431542370534928e-05     3.4666863818287424e-05     -0.0015480932406485277    -2.7070516757397927e-05    
Lambda        AB|SDSS|SDSS_i            6205.923922150819    All      -0.00021974518315850592    -2.9487686719462986e-05    -0.0004193879297815616    4.325776874884983e-05      
Lambda        AB|SDSS|SDSS_g            3916.38932914147     All      -0.0009579487052470132     0.000531797770915318       -0.0008896251227614196    0.0004455595551609175      
MWEBV         All|All|All               All                  All      -0.5639561900404928        -3.2020220242532815        0.09400631162023998       -0.8551097620588977        
Redshift      All|All|All               All                  All      4.907708287097867          -0.1396393268862539        -2.603562918361557        -1.7602722259933727        
